Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Balcony,Parking,Age,Reconstruction,Ownership,Heating,Designe,Enclosed balcony,Cellar,Terrace,New-build,Administrative fee,Domácí mazlíčci vítáni,Garage,Plot space,Plot type
"CZK 19,238","CZK 6,412",732117,2 bedroom,11/1/2022,37 m²,Fully furnished,9,1.0,255.2,724.57,83.91,563.08,180.49,649.38,230.57,184.27,375.6,146.05,"Horáčkova, Prague - Krč",50.046653,14.4354901,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000",735629,2+kk,10/1/2022,66 m²,Partly,5,1.0,214.43,454.85,301.64,222.66,263.56,95.28,727.66,874.15,307.27,377.88,Prague - Vysočany,50.11143,14.4972,"CZK 25,000",C,Very good,Other,1.0,1.0,,,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",735628,2+kk,11/8/2022,67 m²,Fully furnished,2,,81.58,261.82,179.91,165.34,96.05,235.81,210.32,24.34,339.34,418.58,"Zlatnická, Prague - Nové Město",50.0905181,14.4322974,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 5,000",731753,3+kk,9/26/2022,62 m²,Partly,9,1.0,282.04,976.86,137.68,1624.39,519.38,742.9,629.66,1257.83,99.38,73.97,Prague - Krč,50.02579,14.4531,"CZK 40,000",B,New-build,Prefab concrete,,,30 - 50 years,Complete,Personal,Central,Luxurious,1.0,,,,,,,,
"CZK 4,500","CZK 2,500",629416,Studio,10/4/2022,16 m²,Partly,,,200.05,1028.05,515.26,951.11,400.2,724.77,522.41,602.13,726.22,418.43,Prague - Řepy,50.07064,14.30051,"CZK 7,000",G,Good,Brick,,,,,Personal,Central,,,,,,,,,,
"CZK 9,500","CZK 3,500",233679,Studio,9/15/2022,26 m²,Unfurnished,1,,324.39,1223.07,550.75,1160.08,265.26,926.24,647.58,929.38,339.95,445.52,"Cukrovarnická, Prague - Střešovice",50.094406,14.3743334,"CZK 15,000",,,Brick,,,Over 50 years,,Personal,Electric boiler,Standard,,,,,,,,,
"CZK 13,000","CZK 3,500",732298,Small studio,10/1/2022,27 m²,Unfurnished,5,,300.2,346.13,242.74,505.67,74.26,511.17,211.23,158.33,185.85,232.99,Prague - Vinohrady,50.07635,14.46516,"CZK 26,000",G,Good,Brick,,,,,,,,,,,,,,,,
"CZK 29,500","CZK 2,500",732297,2 bedroom,9/15/2022,89 m²,Unfurnished,2,,3.91,381.44,229.01,260.45,16.48,466.6,148.75,1136.15,147.38,206.85,Prague - Bubeneč,50.10095,14.41842,"CZK 50,000",G,Very good,Brick,1.0,,,,,,,,,,,,,,,
"CZK 17,500","CZK 3,000",628100,1 bedroom,9/10/2022,39 m²,Partly,4,,362.81,259.2,126.77,286.13,118.18,279.99,159.44,215.84,295.88,466.72,"Vlkova, Prague - Žižkov",50.083992,14.448523,"CZK 24,000",A,Very good,Brick,,,Up to 10 years,Complete,Personal,Central,Standard,,,,,,,,,
"CZK 17,000","CZK 3,000",661869,2 bedroom,10/30/2022,49 m²,Fully furnished,3,1.0,348.87,382.42,142.37,565.11,185.36,289.15,279.58,428.31,720.24,249.01,Prague - Holešovice,50.1012385,14.445747,"CZK 20,000",B,Very good,Brick,,1.0,,Complete,Personal,Other,,,1.0,,,,,,,
"CZK 25,000","CZK 3,500",611658,2 bedroom,9/10/2022,69 m²,Partly,1,1.0,139.03,947.63,193.11,470.73,14.46,400.42,324.17,313.09,370.6,241.73,"Plavecká, Prague - Nové Město",50.069086,14.415011,"CZK 25,000",G,Very good,Brick,1.0,,,,Personal,Central,,,,,,,,,,
"CZK 16,000","CZK 2,280",453588,2 bedroom,10/1/2022,53 m²,Partly,5,1.0,193.62,942.78,165.46,516.38,427.7,243.55,243.68,670.92,238.99,187.08,"Pivovarnická, Prague - Libeň",50.1093202,14.4743969,"CZK 32,000",G,Very good,Brick,,,,Complete,Personal,Gas boiler,,,1.0,,,,,,,
"CZK 7,900","CZK 2,600",263552,Small studio,9/8/2021,17 m²,Fully furnished,,,192.51,1419.3,94.58,989.72,163.64,549.9,285.02,730.73,359.55,148.59,"Lindnerova, Prague - Libeň",50.1129648,14.4732925,"CZK 10,000",,,Brick,,1.0,Up to 10 years,Interior,Cooperative,,Standard,,1.0,,,,,,,
"CZK 18,000","CZK 4,000",726001,3+1,8/1/2022,72 m²,Partly,5,1.0,170.88,687.41,209.37,644.64,176.07,564.78,826.05,503.93,894.51,180.43,Prague - Malešice,50.08174,14.50788,"CZK 21,000",D,Very good,Prefab concrete,,,,,,,,1.0,1.0,,,,,,,
"CZK 20,000",CZK 0,735605,2+kk,9/8/2022,38 m²,Partly,1,,286.59,250.71,465.1,3587.59,546.18,2565.77,596.89,715.95,499.27,732.72,Prague - Běchovice,50.08115,14.62411,"CZK 20,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,
"CZK 7,000","CZK 2,000",732632,Small studio,9/5/2022,34 m²,Fully furnished,4,1.0,178.58,1079.2,254.49,1044.37,461.31,619.85,1012.02,752.65,415.0,539.01,Prague - Stodůlky,50.05296,14.33228,"CZK 10,000",G,New-build,Other,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 3,000",559804,Studio,12/1/2022,30 m²,Partly,2,1.0,46.3,700.58,219.71,527.05,195.91,636.58,447.89,654.79,385.9,185.32,"Kolbenova, Prague - Vysočany",50.1104383,14.5092256,"CZK 10,000",,,Brick,,,,,Personal,,,,,,,,,,,
"CZK 30,000","CZK 10,000",718922,Studio,10/1/2022,45 m²,Fully furnished,5,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,
"CZK 14,990","CZK 2,990",697953,Studio,9/6/2022,29 m²,Fully furnished,2,1.0,151.52,401.41,109.66,391.76,94.68,206.05,303.75,316.12,661.89,418.83,"Salmovská, Prague - Nové Město",50.07486,14.42255,"CZK 15,000",B,Very good,Brick,,1.0,,,Personal,,,,,1.0,,,,,,
"CZK 14,500",CZK 682,727527,Studio,9/23/2022,32 m²,Unfurnished,2,1.0,134.1,1231.17,484.46,487.91,0.66,491.14,797.02,376.04,364.68,547.87,"5. května, Prague - Nusle",50.05624815,14.43716165,"CZK 30,400",E,Good,Brick,,,,Interior,Personal,,Standard,,1.0,,,,,,,
"CZK 22,000","CZK 3,360",551447,2+kk,8/25/2022,51 m²,Partly,2,,283.79,148.02,158.99,1617.01,45.16,1048.39,1159.42,750.98,931.26,135.54,Prague - Stodůlky,50.0460523,14.3020788,"CZK 40,000",B,,Brick,,,Up to 10 years,,Personal,Central,Standard,,,1.0,1.0,,,,,
"CZK 23,000","CZK 6,000",727258,2+kk,8/1/2022,70 m²,Partly,1,,88.95,789.5,107.34,385.25,116.2,179.24,235.81,308.48,462.3,315.43,"Na Pěšinách, Prague - Kobylisy",50.1250528,14.4573336,"CZK 23,000",C,New-build,Brick,,,,,,,Luxurious,,1.0,1.0,1.0,,,,,
"CZK 7,900","CZK 2,500",735601,Studio,11/1/2022,24 m²,Unfurnished,2,,267.11,1127.97,492.74,1166.35,216.56,835.68,1367.67,243.64,974.08,462.38,Prague - Vršovice,50.06173,14.46551,"CZK 10,400",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 21,900","CZK 4,000",256874,2 bedroom,9/13/2022,70 m²,Partly,2,,132.36,391.77,34.88,286.07,61.73,412.56,166.98,82.19,411.84,555.99,"Krásova, Prague - Žižkov",50.085287007,14.4461689921,"CZK 25,900",A,Good,Brick,,,Up to 10 years,Interior,Personal,,Standard,,,,,,,,,
