Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,EPC,Heating,Floor space,Fully furnished,Floor,Building type,Age,Reconstruction,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Condition,Balcony,Lift,Designe,Parking,Garage,Cellar,New-build,Domácí mazlíčci vítáni,Terrace,Enclosed balcony,Administrative fee,Plot space,Plot type
"CZK 13,500","CZK 4,000","CZK 24,999",524061,Small studio,9/30/2022,Personal,D,Electric boiler,24 m²,Fully furnished,2,Brick,Up to 10 years,Interior,91.78,580.81,32.71,585.83,4.83,464.23,508.34,544.94,531.96,283.89,"Michelská, Prague - Michle",50.050462,14.4588805,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,187","CZK 28,000",475489,2+kk,10/1/2022,Personal,,Distance,40 m²,Partly,3,Prefab concrete,,,316.19,1517.0,291.47,904.47,523.14,563.29,719.55,399.94,1217.25,123.35,"Mirovická, Prague - Kobylisy",50.1301776,14.4485142,Very good,1.0,1.0,,,,,,,,,,,
"CZK 15,500","CZK 4,000","CZK 20,000",293194,2+kk,10/1/2022,Personal,,Gas boiler,47 m²,Partly,2,Brick,,Complete,149.77,220.69,51.37,211.81,11.89,227.63,317.22,469.46,352.29,329.38,"Na spojce, Prague - Vršovice",50.0677288,14.456493,Very good,1.0,,Luxurious,,,,,,,,,,
"CZK 16,000","CZK 5,000","CZK 16,000",533566,2 bedroom,,Personal,C,,75 m²,Fully furnished,1,Brick,,,112.68,1039.87,192.63,956.88,242.99,910.11,544.63,245.79,527.36,284.81,"K Závěrce, Prague - Smíchov",50.0564892,14.399944,,1.0,,,,,,,,,,,,
"CZK 19,500","CZK 5,365","CZK 39,000",711808,2+kk,10/1/2022,Personal,B,,49 m²,Fully furnished,6,Brick,,,47.78,826.64,80.43,845.07,369.97,226.1,585.05,391.79,530.72,483.78,"Lehovecká, Prague - Hloubětín",50.1079,14.54644,New-build,1.0,1.0,,1.0,1.0,1.0,,,,,,,
"CZK 20,103","CZK 2,097","CZK 40,000",732299,2+kk,10/1/2022,,G,,64 m²,Partly,5,Brick,,,121.07,514.35,0.41,175.09,21.51,296.98,441.48,400.59,261.11,376.14,Prague - Holešovice,50.10249,14.4527,New-build,1.0,1.0,,1.0,,1.0,1.0,,,,,,
"CZK 17,000","CZK 2,663","CZK 34,000",520762,Studio,10/1/2022,Personal,B,,33 m²,Partly,6,Brick,,,454.04,809.88,434.66,484.42,353.37,771.43,492.68,609.29,683.92,296.54,"Freyova, Prague - Vysočany",50.1053168,14.5019662,,,1.0,,1.0,,,1.0,,,,,,
"CZK 18,000","CZK 4,000","CZK 18,000",303914,2+kk,10/1/2022,Personal,,Central,43 m²,Partly,12,Brick,Up to 10 years,,468.22,728.65,448.84,403.19,272.14,690.2,506.86,384.18,655.25,215.31,"Freyova, Prague - Vysočany",50.10547599,14.5020472394,New-build,,1.0,Standard,1.0,,1.0,1.0,,,,,,
"CZK 11,500","CZK 3,000","CZK 29,000",694057,Small studio,9/13/2022,Personal,D,,35 m²,Partly,3,Brick,,,30.15,606.25,417.88,138.81,109.0,176.09,318.33,806.62,770.13,315.87,"Stroupežnického, Prague - Smíchov",50.0718592,14.4026525,Good,,1.0,,,,,,1.0,,,,,
"CZK 12,000","CZK 3,000","CZK 12,000",736087,Studio,9/10/2022,,G,Electric boiler,26 m²,Fully furnished,1,Brick,,,107.24,1090.96,310.0,747.62,287.97,705.42,484.33,458.93,687.76,203.17,Prague - Nusle,50.05744,14.44172,Very good,,,Standard,,,,,1.0,,,,,
"CZK 18,000","CZK 4,000","CZK 40,000",738062,2+kk,9/12/2022,,G,,53 m²,Fully furnished,4,Brick,,,140.43,192.7,275.57,462.44,229.16,261.26,120.24,96.33,534.26,253.95,Prague - Břevnov,50.08823,14.34953,Very good,,,,,,1.0,,,,,,,
"CZK 12,000","CZK 2,800","CZK 15,000",362812,Small studio,10/1/2022,Personal,G,Gas boiler,32 m²,Unfurnished,2,Brick,,Interior,380.89,1044.93,381.98,557.79,318.11,541.01,649.96,1042.44,475.72,636.87,"Pod kaštany, Prague - Bubeneč",50.1005573,14.4084997,Good,,,Standard,,,,,,,,,,
