Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Designe,Condition,Ownership,EPC,Heating,New-build,Reconstruction,Terrace,Cellar,Balcony,Parking,Garage,Domácí mazlíčci vítáni,Enclosed balcony,Administrative fee,Plot space,Plot type
"CZK 29,580","CZK 9,860",740891,1 bedroom,11/16/2022,40 m²,Fully furnished,7,1.0,87.51,353.67,89.15,198.61,58.78,391.0,424.89,274.26,259.72,601.24,"Zborovská, Prague - Smíchov",50.0730365,14.4083833,,,,,,,,,,,,,,,,,,,,
"CZK 17,500","CZK 2,954",621757,Studio,9/12/2022,39 m²,Fully furnished,2,1.0,287.78,632.02,284.32,1023.79,212.63,704.51,528.72,663.39,621.77,179.67,"U Nikolajky, Prague - Smíchov",50.0658762,14.3930527,"CZK 35,000",Brick,Up to 10 years,Luxurious,New-build,Personal,B,Central,1.0,,,,,,,,,,,
"CZK 23,500","CZK 3,500",246363,2+kk,11/1/2022,64 m²,Fully furnished,4,1.0,445.68,383.8,153.32,598.7,231.91,394.35,94.28,421.47,659.65,331.65,"Pernerova, Prague - Karlín",50.0899848,14.4491976,"CZK 27,000",Brick,Up to 10 years,Luxurious,Very good,Personal,G,Gas boiler,,Interior,,,,,,,,,,
"CZK 12,400","CZK 3,700",420128,Small studio,7/1/2022,21 m²,Partly,5,,547.01,459.9,413.44,1625.07,241.32,1159.89,461.89,421.54,424.59,220.06,"Za Hládkovem, Prague - Střešovice",50.0889422,14.3834582,"CZK 15,000",Brick,30 - 50 years,Standard,,Personal,,Central,,Interior,1.0,1.0,,,,,,,,
"CZK 14,500","CZK 5,500",736192,2+kk,10/3/2022,61 m²,Partly,4,1.0,104.52,387.44,258.23,444.25,87.81,433.74,434.8,328.65,310.45,337.26,Prague - Libeň,50.10498,14.47881,"CZK 20,000",Brick,10 to 30 years,Standard,Good,,G,,,,,,,,,,,,,
"CZK 25,000","CZK 7,000",740880,3+1,9/16/2022,73 m²,Partly,9,1.0,150.21,1065.51,122.99,745.82,275.03,439.02,447.45,903.52,387.6,282.72,Prague - Strašnice,50.06914,14.48862,"CZK 50,000",Prefab concrete,,Standard,Very good,,G,Distance,,Complete,,1.0,1.0,1.0,1.0,1.0,,,,
"CZK 14,750","CZK 2,728",509665,Studio,9/19/2022,40 m²,Partly,3,1.0,224.4,1278.71,656.5,1260.26,929.14,1205.56,1200.64,1240.37,1130.47,482.15,"Granitova, Prague - Hloubětín",50.1087505,14.5266177,"CZK 32,000",Brick,Up to 10 years,Luxurious,New-build,Personal,B,Central,1.0,,,1.0,1.0,1.0,1.0,,,,,
"CZK 10,000","CZK 2,300",740875,2+kk,9/16/2022,64 m²,Fully furnished,1,,42.35,61.62,67.5,299.47,37.75,493.17,161.09,489.03,309.11,272.43,Prague - Malá Strana,50.08023,14.40446,"CZK 12,300",Brick,,,Very good,,G,,,,,1.0,,1.0,,,,,,
"CZK 18,500","CZK 2,500",612997,2+kk,9/1/2022,43 m²,Partly,2,,345.81,1564.53,580.73,1494.4,665.07,1339.74,266.38,953.97,2333.89,265.06,"Dolákova, Prague - Bohnice",50.134462,14.409814,"CZK 30,000",Prefab concrete,,,Very good,Personal,C,Central,,Complete,,,,1.0,,,,,,
"CZK 8,900","CZK 3,200",740872,1 bedroom,9/16/2022,30 m²,Partly,7,1.0,199.7,286.81,295.47,268.36,312.88,288.62,201.15,159.89,284.84,115.87,Prague - Hloubětín,50.10361,14.53686,"CZK 8,900",Brick,,,Very good,,D,,,,,,,1.0,,,,,,
