Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Floor space,Fully furnished,Condition,Ownership,Heating,Balcony,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Enclosed balcony,Cellar,Reconstruction,Designe,New-build,Parking,Domácí mazlíčci vítáni,Age,Garage,Terrace,Administrative fee
"CZK 14,000","CZK 4,187","CZK 28,000",475489,2+kk,10/1/2022,3,Prefab concrete,40 m²,Partly,Very good,Personal,Distance,1.0,1.0,316.19,1517.0,291.47,904.47,523.14,563.29,719.55,399.94,1217.25,123.35,"Mirovická, Prague - Kobylisy",50.1301776,14.4485142,,,,,,,,,,,,
"CZK 18,500","CZK 4,500","CZK 37,000",736036,2+kk,9/9/2022,5,Prefab concrete,54 m²,Partly,Very good,,,,1.0,100.23,939.76,153.49,621.09,138.91,192.6,264.37,595.16,305.1,220.46,Prague - Strašnice,50.06951,14.49267,G,1.0,,,,,,,,,,
"CZK 14,000","CZK 4,000","CZK 28,000",740700,2+kk,9/15/2022,6,Prefab concrete,45 m²,Unfurnished,Very good,,,1.0,1.0,406.42,756.09,451.81,667.4,614.52,764.06,998.28,476.57,2230.41,136.07,Prague - Černý Most,50.1034,14.585,C,,1.0,,,,,,,,,
"CZK 29,000","CZK 7,000","CZK 50,000",472794,3+1,10/1/2022,2,Brick,105 m²,Partly,Very good,Personal,,1.0,,144.2,197.38,28.0,235.07,11.48,250.9,340.48,492.72,328.98,306.07,Prague - Vršovice,50.0674451,14.4566149,,,,Complete,,,,,,,,
"CZK 18,500","CZK 4,500","CZK 25,000",455170,2+kk,11/28/2022,1,Brick,48 m²,Fully furnished,Good,Cooperative,,,,71.5,898.38,291.78,831.18,444.97,533.0,270.89,1255.38,663.36,192.7,"U Pergamenky, Prague - Holešovice",50.1108959,14.4470802,,,1.0,Complete,Standard,,,,,,,
"CZK 13,500","CZK 3,200","CZK 13,500",725461,2+kk,9/19/2022,19,Prefab concrete,38 m²,Partly,Very good,,Central,1.0,1.0,122.96,512.95,144.57,811.18,323.7,71.33,239.39,721.53,271.07,155.23,Prague - Záběhlice,50.05717,14.49623,G,,,Complete,,,,,,,,
"CZK 10,000","CZK 5,000","CZK 15,000",321250,Small studio,9/17/2022,,Brick,26 m²,Partly,,Personal,,,,210.41,1186.31,492.8,1473.13,557.16,807.35,808.27,922.23,978.26,435.37,"Na Provaznici, Prague - Smíchov",50.06723,14.3870255,,,,,,,,,,,,
"CZK 12,000","CZK 2,800","CZK 15,000",362812,Small studio,10/1/2022,2,Brick,32 m²,Unfurnished,Good,Personal,Gas boiler,,,380.89,1044.93,381.98,557.79,318.11,541.01,649.96,1042.44,475.72,636.87,"Pod kaštany, Prague - Bubeneč",50.1005573,14.4084997,G,,,Interior,Standard,,,,,,,
"CZK 18,000","CZK 2,038","CZK 36,000",678045,2+kk,10/1/2022,1,Brick,47 m²,Partly,Very good,Personal,,,,234.53,890.93,125.68,740.59,387.89,682.36,975.35,409.59,703.6,63.12,Prague - Dejvice,50.0986737,14.3736855,G,,,,,,,,,,,
"CZK 23,000","CZK 3,500","CZK 53,000",430585,2+kk,10/1/2022,4,Brick,53 m²,Fully furnished,New-build,Personal,,1.0,1.0,239.09,882.58,446.42,643.02,229.17,685.62,588.31,252.8,374.45,191.71,"Olgy Havlové, Prague - Žižkov",50.0886908,14.4828424,,1.0,1.0,,,1.0,,,,,,
"CZK 18,000","CZK 4,000","CZK 18,000",737808,2+kk,9/19/2022,3,Prefab concrete,55 m²,Unfurnished,Very good,,Central,,1.0,232.61,146.06,13.95,221.87,10.19,63.91,278.39,443.83,1225.33,285.5,Prague - Vokovice,50.09625,14.3602,C,1.0,1.0,Complete,,,1.0,,,,,
"CZK 18,000","CZK 3,497","CZK 25,000",737805,Studio,10/4/2022,2,Brick,30 m²,Fully furnished,Very good,,,,1.0,244.01,756.43,234.11,1131.0,356.53,408.8,300.81,423.96,1217.3,415.74,Prague - Košíře,50.07148,14.3846,G,,,,,,,1.0,,,,
"CZK 22,350","CZK 7,450",,740969,2+kk,11/1/2022,1,,56 m²,Fully furnished,,,,,,367.14,971.43,109.11,519.79,345.16,908.48,267.85,184.01,845.29,349.25,"U Družstva Život, Prague - Nusle",50.0559404,14.4464229,,,,,,,,,,,,
"CZK 16,500","CZK 4,300","CZK 25,000",687239,2+kk,12/1/2022,2,Brick,45 m²,Fully furnished,New-build,Personal,Central,1.0,1.0,325.71,968.96,162.26,2110.68,160.3,997.63,1050.9,1575.88,2007.31,224.0,"K Beranovu, Prague - Dolní Chabry",50.13979,14.44901,C,,1.0,,Standard,1.0,1.0,,Up to 10 years,,,
"CZK 19,600","CZK 4,400","CZK 40,000",740958,3+1,9/17/2022,3,Prefab concrete,74 m²,Unfurnished,Very good,,,,1.0,282.34,306.34,307.83,311.98,315.81,410.62,195.61,178.27,1058.13,107.67,Prague - Stodůlky,50.05243,14.34145,C,1.0,1.0,,,,,,,,,
"CZK 10,000","CZK 4,000","CZK 20,000",343623,1 bedroom,9/20/2022,3,Brick,30 m²,Partly,,Cooperative,Distance,,,256.4,554.34,102.91,716.47,396.66,638.24,346.8,348.11,361.66,159.51,"Stallichova, Prague - Krč",50.0447151,14.4378787,,,,,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 25,000",737556,2+kk,9/12/2022,4,Brick,56 m²,Fully furnished,New-build,,,,,159.19,701.35,186.0,393.34,186.98,214.61,352.62,518.89,577.8,707.14,Prague - Břevnov,50.08317,14.37215,G,,,,,1.0,,,,,,
"CZK 22,000","CZK 4,000","CZK 44,000",592983,2 bedroom,10/1/2022,5,Brick,84 m²,Partly,Very good,Personal,Central,1.0,1.0,93.44,397.81,117.27,283.5,58.2,361.89,103.23,163.98,504.86,276.58,"Klimentská, Prague - Nové Město",50.092005,14.431277,G,,,Interior,,,,,,,,
"CZK 13,000","CZK 3,500","CZK 16,500",739764,Studio,9/15/2022,1,Prefab concrete,30 m²,Partly,Very good,,Central,,1.0,134.44,356.11,378.19,328.8,316.37,472.52,183.43,154.05,1234.15,99.24,Prague - Střížkov,50.12568,14.49787,G,,1.0,Complete,Standard,,,1.0,,,,
"CZK 36,000","CZK 5,000","CZK 41,000",726296,2 bedroom,10/1/2022,4,Brick,99 m²,Fully furnished,Very good,,,,1.0,122.94,258.58,133.88,395.37,98.69,163.66,345.48,354.2,447.9,243.26,Prague - Karlín,50.09334,14.44557,A,1.0,1.0,,,,,,,,,
