Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Balcony,Parking,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Designe,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Garage,New-build,Administrative fee
"CZK 17,800","CZK 3,671","CZK 35,000",730933,2 bedroom,9/24/2022,6,Brick,Central,53 m²,Fully furnished,Very good,Personal,E,Complete,1.0,1.0,1.0,1.0,249.45,542.09,188.53,762.13,138.43,578.41,416.88,123.11,714.28,256.3,Prague - Žižkov,50.09051,14.49609,,,,,,,,
"CZK 16,000","CZK 1,200","CZK 32,000",741336,2+kk,11/1/2022,1,Brick,,43 m²,Partly,Very good,,G,,,,,,216.46,1774.36,583.17,412.94,606.95,1107.38,1128.31,1029.74,517.13,878.05,Prague - Vokovice,50.09403,14.33444,,,,,,,,
"CZK 16,000","CZK 4,500","CZK 30,000",740263,2+kk,9/13/2022,2,Brick,Distance,56 m²,Partly,Very good,Personal,G,,,1.0,,1.0,508.94,939.25,148.17,918.31,746.83,665.98,438.81,535.34,1344.59,196.4,Prague - Střížkov,50.13048,14.49656,10 to 30 years,Standard,1.0,,,,,
"CZK 11,453","CZK 3,817",,741530,4+kk,11/20/2022,-1,,,60 m²,Fully furnished,,,,,,,,,128.07,590.39,54.39,441.02,27.54,567.88,151.31,255.51,710.79,142.74,"Masarykovo nábřeží, Prague - Nové Město",50.0778219,14.4145055,,,,,,,,
"CZK 12,000","CZK 2,000","CZK 28,000",740680,1 bedroom,11/1/2022,3,Prefab concrete,,37 m²,Partly,Very good,Personal,G,,,1.0,,1.0,176.89,533.1,217.69,224.17,0.26,288.29,208.28,312.97,152.44,171.63,Prague - Háje,50.03194,14.52646,,,,,,,,
"CZK 27,500",CZK 810,"CZK 45,000",66020,3+1,11/1/2022,4,Brick,Gas boiler,92 m²,Partly,Very good,Personal,D,Complete,,,,,86.41,247.65,127.67,383.86,45.89,297.15,239.35,336.95,241.86,302.77,"Roháčova, Prague - Žižkov",50.0866182,14.4531338,Up to 10 years,Luxurious,1.0,,,,,
"CZK 15,000","CZK 2,000","CZK 15,000",741507,2+kk,9/26/2022,2,Brick,,48 m²,Partly,Very good,,G,,,,,,57.66,230.73,33.91,32.25,119.24,118.29,365.43,324.54,367.15,309.18,Prague - Holešovice,50.10343,14.45016,,,,,,,,
"CZK 18,000","CZK 3,024","CZK 54,000",741504,3+kk,9/20/2022,3,Prefab concrete,,63 m²,Fully furnished,Very good,,G,,,,1.0,,92.57,869.75,99.09,849.12,853.81,873.8,1049.84,855.48,856.07,92.88,Prague - Hostivař,50.05783,14.52035,,,1.0,1.0,,,,
"CZK 14,000","CZK 3,600","CZK 14,000",505470,2+kk,10/1/2022,7,Prefab concrete,Distance,43 m²,Partly,Very good,Personal,D,Bathroom unit,,,,1.0,97.07,518.62,175.18,614.86,171.34,492.91,345.02,334.45,1585.25,88.37,"Famfulíkova, Prague - Kobylisy",50.1318409,14.4711883,,,,,,,,
"CZK 11,500","CZK 3,400","CZK 20,000",741499,Studio,10/1/2022,2,Brick,,22 m²,Fully furnished,Very good,,G,,,,,1.0,108.55,960.74,68.98,495.24,64.56,615.85,428.46,270.74,198.18,176.96,Prague - Libeň,50.10703,14.48804,,,,,,,,
"CZK 24,000","CZK 5,500","CZK 30,000",741490,3+kk,10/15/2022,1,Brick,,72 m²,Fully furnished,Very good,Personal,B,,1.0,,,1.0,120.16,1518.05,279.89,1795.03,346.4,335.48,923.36,383.22,1061.86,74.96,Prague - Hostivař,50.04346,14.51534,,,,,1.0,1.0,,
"CZK 12,800","CZK 4,500","CZK 12,800",741485,1 bedroom,10/1/2022,1,Brick,,42 m²,Partly,Good,Personal,G,,,1.0,1.0,,278.8,1090.64,515.54,1213.83,149.7,363.72,501.15,471.68,569.61,415.42,Prague - Modřany,50.00143,14.40646,,,,,1.0,,,
"CZK 21,000","CZK 2,800","CZK 20,000",740660,Studio,10/17/2022,,Prefab concrete,,39 m²,Fully furnished,Very good,,B,,,,,,165.04,693.97,218.31,198.96,208.44,199.93,410.35,701.37,475.65,42.79,Prague - Libeň,50.10525,14.47206,,,,,1.0,,,
"CZK 26,000",CZK 0,"CZK 50,000",476207,2 bedroom,11/1/2022,4,Brick,Gas boiler,80 m²,Fully furnished,,Personal,,Interior,1.0,1.0,1.0,,127.73,886.45,36.32,399.9,121.48,332.84,596.5,641.14,459.0,269.03,"Nezamyslova, Prague - Nusle",50.0648387,14.4266126,Over 50 years,Standard,,,,,,
