Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Condition,Ownership,EPC,Heating,Terrace,Cellar,New-build,Parking,Garage,Reconstruction,Sklep 2 m²,Balcony,Lodžie 7.5 m²,Designe,Balkón 6 m²,Sklep 34 m²,Sklep 4 m²,Domácí mazlíčci vítáni,Balkón 33 m²,Balkón 4 m²,Balkón 9 m²,Enclosed balcony,Balkón 60 m²,Balkón 10 m²,Sklep 10 m²,Balkón 2 m²,Sklep 5 m²,Balkón 8 m²,Terasa 20 m²,Sklep 6 m²,Administrative fee,Terasa 12 m²,Balkón 3.1 m²,Balkón 32 m²,Terasa 32 m²,Terasa 19 m²,Balkón 7 m²,Sklep 20 m²,Sklep 3 m²,Sklep 1 m²,Terasa 40 m²,Lodžie 8 m²,Balkón 3 m²,Lodžie 1 m²,Balkón 5 m²,Terasa 15 m²,Water,Sewage,Plot space,Sklep 44 m²,Terasa 10 m²,Sklep 8 m²
"CZK 36,675","CZK 12,225",742243,2+kk,11/25/2022,48 m²,Fully furnished,2,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,000",742662,2+kk,9/27/2022,51 m²,Partly,2,1.0,116.45,269.18,52.36,1290.5,229.19,1125.44,248.3,695.49,445.01,233.92,Prague - Hlubočepy,50.0277,14.36554,"CZK 30,000",Other,Up to 10 years,New-build,Personal,C,Central,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",743215,2+kk,11/9/2022,45 m²,Fully furnished,6,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 3,800",744477,2 bedroom,10/17/2022,52 m²,Partly,3,,150.91,235.66,180.98,701.01,214.42,699.76,576.83,524.49,260.3,130.46,Prague - Záběhlice,50.05659,14.50407,"CZK 40,000",Brick,,Very good,,G,Distance,,,,,,Complete,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,200",743720,Studio,10/3/2022,35 m²,Fully furnished,2,1.0,52.71,885.21,523.81,874.84,30.45,729.9,997.92,464.81,1208.95,324.79,Prague - Strašnice,50.07828,14.5085,"CZK 24,000",Brick,,New-build,,D,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,800","CZK 2,300",744474,Studio,10/10/2022,40 m²,Unfurnished,2,1.0,51.7,1483.2,433.92,1157.74,558.05,744.26,305.46,1138.73,1422.98,612.08,"Poděbradská, Prague - Vysočany",50.10269,14.50844,"CZK 15,100",Prefab concrete,,Very good,,G,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000",670173,2+kk,11/1/2022,50 m²,Fully furnished,2,,257.69,465.62,208.5,422.91,459.47,367.79,297.03,291.32,1080.49,155.73,"Krásného, Prague - Veleslavín",50.09209,14.34574,"CZK 40,000",Brick,,Very good,Personal,G,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000",CZK 800,594659,Studio,5/4/2022,30 m²,Partly,1,,127.84,622.21,113.7,719.84,173.59,657.84,458.51,526.25,398.43,423.05,"Pod Zvonařkou, Prague - Vinohrady",50.06888,14.433909,"CZK 15,000",Brick,30 - 50 years,Good,Personal,C,Electric boiler,,1.0,,,,Complete,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 1,775",743677,2+kk,10/3/2022,50 m²,Partly,1,1.0,222.57,1566.81,178.36,1606.79,195.17,184.25,735.12,340.27,1261.82,1.47,Prague - Hostivař,50.0448,14.51649,"CZK 20,000",Brick,,Very good,,B,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,950","CZK 2,950",299724,Studio,10/20/2022,39 m²,Partly,3,,517.76,623.39,437.01,446.15,431.51,502.53,374.27,882.61,624.45,346.58,"Nad Rokoskou, Prague - Libeň",50.1189478,14.453226,"CZK 27,900",Brick,,New-build,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
