Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Sklep 2 m²,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Lodžie 7.5 m²,Parking,Balkón 5 m²,Terasa 16.1 m²,Sklep 3.1 m²,Lodžie 7 m²,Age,Designe,Terasa 8 m²,Sklep 3 m²,New-build,Lodžie 4 m²,Sklep 4 m²,Administrative fee,Sklep 1 m²,Cellar,Domácí mazlíčci vítáni,Garage,Balkón 1 m²,Balkón 7 m²,Lodžie 3 m²,Lodžie 9 m²,Enclosed balcony,Balkón 6 m²,Sklep 8 m²,Balkón 9 m²,Terasa 10 m²,Sklep 5 m²,Balkón 3 m²,Lodžie 5 m²,Sklep 7 m²,Sklep 6 m²,Balkón 8 m²,Terasa 20 m²,Balkón 2 m²,Terasa 12 m²,Balkón 4 m²,Lodžie 8 m²,Balkón 13 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Lodžie 6 m²,Terasa 19 m²,Balkón 12 m²,Sklep 20 m²,Terasa 30 m²,Terasa 7 m²,Lodžie 10 m²,Balkón 10 m²,Sklep 4.1 m²,Sklep 3.5 m²,Sklep 30 m²,Lodžie 1 m²,Lodžie 2 m²,Terasa 14 m²,Balkón 6.1 m²,Terasa 10.1 m²,Terasa 5 m²,Terasa 14.1 m²,Sklep 10 m²,Sklep 6.4 m²,Terasa 40 m²,Balkón 35 m²,Terasa 16 m²,Balkón 33 m²,Balkón 60 m²,Balkón 32 m²,Terasa 32 m²,Water,Sewage,Balkón 70 m²,Plot space,Sklep 44 m²
"CZK 15,500","CZK 3,500","CZK 19,000",599822,2+kk,10/20/2022,5,Other,Central,33 m²,Fully furnished,Very good,Personal,G,Complete,1.0,1.0,147.03,937.79,219.38,422.35,148.36,740.04,467.07,425.15,904.92,367.96,"Kloboučnická, Prague - Nusle",50.061545,14.449478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,888","CZK 5,962",,745129,2+kk,10/31/2022,-1,,,33 m²,Fully furnished,,,,,,,233.09,158.94,271.28,247.09,153.33,354.32,474.78,508.34,803.85,248.15,"Na Zámyšli, Prague - Košíře",50.0694975,14.3743831,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 39,971","CZK 13,324",,744560,2 bedroom,12/9/2022,1,,,56 m²,Fully furnished,,,,,,,323.47,356.02,19.06,334.55,43.47,635.94,360.96,349.33,865.49,201.5,"U Lužického semináře, Prague - Malá Strana",50.0877117,14.4091678,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,800","CZK 2,300","CZK 15,100",744474,Studio,10/10/2022,2,Prefab concrete,,40 m²,Unfurnished,Very good,,G,,,1.0,51.7,1483.2,433.92,1157.74,558.05,744.26,305.46,1138.73,1422.98,612.08,"Poděbradská, Prague - Vysočany",50.10269,14.50844,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 6,000","CZK 29,000",728420,3+kk,10/17/2022,5,Brick,Central,75 m²,Partly,Very good,,G,Interior,,1.0,60.99,655.67,354.9,3602.05,419.22,1278.15,750.72,194.53,1840.02,185.01,Prague - Čakovice,50.15776,14.52146,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 1,800","CZK 38,000",745115,2+kk,11/1/2022,6,Brick,,38 m²,Fully furnished,Very good,,B,,,,189.58,492.43,62.98,261.23,63.45,332.38,396.28,314.59,781.77,200.24,"Baranova, Prague - Žižkov",50.07897,14.45807,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000","CZK 25,000",745112,2+kk,12/1/2022,2,Brick,,48 m²,Partly,Very good,,G,,,,253.08,172.63,144.96,1116.35,125.03,951.29,353.84,563.95,635.33,189.76,"Voskovcova, Prague - Hlubočepy",50.02952,14.36494,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 5,000","CZK 23,000",335870,1 bedroom,11/1/2022,1,Brick,Electric boiler,42 m²,Fully furnished,,Personal,,Complete,,,113.05,504.78,200.0,449.57,45.11,409.86,183.12,300.57,258.07,557.17,Prague - Žižkov,50.0867341,14.4483599,,,,,,,,,Up to 10 years,Luxurious,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,600","CZK 20,000",745110,Studio,10/13/2022,2,Brick,Central,51 m²,Partly,Very good,Personal,B,,,1.0,373.67,821.45,917.68,1381.73,368.84,437.95,467.18,1260.2,388.5,390.26,Prague - Řeporyje,50.03704,14.31131,,,,,,,,,10 to 30 years,Standard,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 2,130","CZK 26,000",745106,Studio,11/1/2022,2,Brick,,32 m²,Fully furnished,New-build,,G,,,,380.99,892.66,208.81,854.3,556.89,978.94,351.18,2216.89,1226.19,121.56,Prague - Zličín,50.05818,14.28119,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
