Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Garage,Refundable security deposit,EPC,Condition,Building type,Reconstruction,Balkón 2 m²,Parking,Sklep 2 m²,Domácí mazlíčci vítáni,Heating,Designe,Age,Balkón 13 m²,Sklep 7 m²,Ownership,Balkón 3 m²,Sklep 1 m²,Lodžie 6 m²,Terasa 5 m²,Administrative fee,Balkón 33 m²,Cellar,Sklep 3 m²,Sklep 4 m²,Balkón 15 m²,Balkón 4 m²,Sklep 6 m²,Terasa 29 m²,Balkón 5 m²,Terasa 50 m²,Balkón 10 m²,Terasa 8 m²,New-build,Enclosed balcony,Balkón 6 m²,Lodžie 4 m²,Lodžie 5 m²,Balkón 9 m²,Lodžie 3 m²,Balkón 8 m²,Terasa 20 m²,Sklep 10 m²,Lodžie 8 m²,Sklep 1.5 m²,Lodžie 7 m²,Terasa 30 m²,Terasa 10 m²,Sklep 5 m²,Terasa 7 m²,Terasa 45 m²,Balkón 7 m²,Terasa 6 m²,Sklep 12 m²,Terasa 15 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Terasa 12 m²,Balkón 11 m²,Balkón 28 m²,Balkón 32 m²,Terasa 32 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Balkón 2.29 m²,Balkón 12 m²,Lodžie 12 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 1 m²,Lodžie 9 m²,Sklep 8 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Sklep 20 m²,Lodžie 10 m²,Terasa 14 m²,Terasa 14.1 m²,Terasa 40 m²,Balkón 35 m²,Balkón 70 m²,Plot space,Sklep 44 m²,Sklep 15 m²
"CZK 31,500","CZK 10,500",746228,2 bedroom,12/17/2022,75 m²,Fully furnished,3,1.0,286.21,293.35,195.84,193.77,92.11,378.02,243.35,1039.65,522.33,334.73,"Čechova, Prague - Bubeneč",50.1016621,14.4210737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 46,530","CZK 15,510",746227,2 bedroom,12/17/2022,48 m²,Fully furnished,2,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 63,413","CZK 21,137",746226,3+kk,12/17/2022,62 m²,Fully furnished,3,1.0,2.22,191.43,20.53,48.07,1.19,48.35,128.16,305.9,208.92,259.31,"Dlouhá, Prague - Staré Město",50.0907943,14.427063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",746225,2+kk,12/17/2022,75 m²,Fully furnished,6,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",746224,2 bedroom,12/17/2022,65 m²,Fully furnished,5,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 10,000",746223,2+kk,12/17/2022,67 m²,Fully furnished,2,1.0,190.62,1447.15,484.7,1260.45,182.11,737.34,559.67,596.72,660.13,404.95,"V Zahradách, Prague - Libeň",50.1148427,14.4750191,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 3,000",746221,1 bedroom,10/17/2022,45 m²,Partly,2,1.0,201.57,585.57,47.99,684.45,193.71,421.51,363.76,267.7,337.41,532.05,"Novgorodská, Prague - Vršovice",50.06472,14.45098,,,,"CZK 50,000",G,Very good,Brick,Complete,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,000","CZK 6,000",744995,4+1,11/1/2022,100 m²,Unfurnished,1,,332.92,496.76,464.44,2244.27,482.91,368.22,126.22,1304.29,1307.45,476.97,"Navigátorů, Prague - Liboc",50.09243,14.31163,,,1.0,"CZK 50,000",G,Very good,Prefab concrete,Complete,,1.0,,,Central,Luxurious,Up to 10 years,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 3,200",746183,1 bedroom,11/1/2022,40 m²,Partly,1,,406.87,1096.33,927.51,1352.1,312.3,1006.5,912.44,825.68,1362.83,482.14,"Pod Zemankou, Prague - Braník",50.03659,14.42348,,,,"CZK 22,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000",CZK 775,705074,2 bedroom,2/3/2022,84 m²,Partly,3,1.0,248.79,693.52,178.58,597.23,44.85,525.88,53.92,488.2,477.59,359.3,"Žateckých, Prague - Nusle",50.06199,14.43511,,,,"CZK 40,000",G,Very good,Brick,,,,,,,Standard,Over 50 years,,,Personal,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,976",746156,1 bedroom,11/1/2022,47 m²,Fully furnished,4,1.0,110.03,88.69,318.49,1131.55,141.9,552.18,182.19,199.43,668.77,264.87,"Květnového vítězství, Prague - Chodov",50.03299,14.50354,,,,"CZK 28,000",G,Very good,Prefab concrete,Complete,,1.0,,1.0,Central,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,600","CZK 6,900",746161,2 bedroom,11/14/2022,55 m²,Fully furnished,3,,166.79,356.9,9.17,99.93,77.53,187.58,193.16,303.32,290.35,421.51,Prague - Břevnov,50.08417,14.3687,,,,"CZK 40,000",E,Very good,Brick,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 3,000",746158,2+kk,10/17/2022,42 m²,Fully furnished,6,1.0,387.66,1161.08,368.36,1479.67,607.87,589.53,635.66,1274.38,419.38,636.25,"Ginzova, Prague - Záběhlice",50.05613,14.48895,,,1.0,"CZK 38,000",G,Very good,Brick,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 3,700",746149,2 bedroom,10/17/2022,56 m²,Fully furnished,2,,48.07,1392.6,13.55,1318.41,71.63,1492.74,349.48,275.79,515.7,616.65,Prague - Podolí,50.04694,14.41511,,,,"CZK 34,000",G,Very good,Brick,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 2,100",744982,2+kk,12/1/2022,56 m²,Fully furnished,5,,137.07,126.64,8.03,93.34,22.38,67.09,242.0,396.84,354.99,434.46,Prague - Žižkov,50.08438,14.45175,,,,"CZK 19,000",G,Very good,Brick,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 3,000",648470,4+1,11/1/2022,120 m²,Fully furnished,3,,249.63,641.92,222.88,284.81,115.39,374.62,669.49,474.73,460.19,340.99,"Vltavská, Prague - Smíchov",50.069819,14.407961,,,,"CZK 30,000",F,Very good,Other,Complete,,,,,Gas boiler,Standard,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,750","CZK 6,250",742817,3+1,11/24/2022,90 m²,Fully furnished,2,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,453","CZK 3,817",745100,4+kk,11/21/2022,60 m²,Fully furnished,-1,,128.07,590.39,54.39,441.02,27.54,567.88,151.31,255.51,710.79,142.74,"Masarykovo nábřeží, Prague - Nové Město",50.0778219,14.4145055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 3,000",746118,Studio,10/17/2022,35 m²,Fully furnished,2,,201.93,691.02,142.92,614.07,135.65,655.7,425.06,202.6,531.27,193.61,"Vondroušova, Prague - Řepy",50.06449,14.30157,,,,"CZK 25,000",G,Very good,Prefab concrete,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 6,000",441084,2+kk,10/17/2022,40 m²,Partly,13,1.0,290.5,1478.11,6.35,1675.83,6.35,764.19,1025.9,1352.52,742.75,563.81,"Štúrova, Prague - Krč",50.0297479,14.4497107,,,,"CZK 20,000",C,Good,Prefab concrete,Complete,,,,,Central,Standard,30 - 50 years,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,000","CZK 7,000",746109,3+kk,10/17/2022,121 m²,Fully furnished,5,1.0,204.78,606.46,143.9,258.53,101.25,231.7,634.03,439.27,424.73,489.24,"Jindřicha Plachty, Prague - Smíchov",50.07062,14.40669,,,,"CZK 35,000",G,Very good,Brick,Complete,,1.0,,,,,,,,Personal,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,294","CZK 3,057",744847,3+kk,11/1/2022,101 m²,,1,,293.66,1229.39,420.59,1471.88,1009.41,1190.94,1012.97,702.98,4411.5,1120.82,"Spojařů, Prague - Zbraslav",49.9649015,14.3959131,,,,"CZK 22,351",,Good,Other,,,,,,,,,,,Personal,,,,,"CZK 2,894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,300","CZK 1,000",743628,Studio,10/3/2022,33 m²,Partly,6,,314.25,1111.49,273.41,514.79,226.23,518.02,517.41,640.88,391.56,602.95,Prague - Nusle,50.05882,14.43473,,,,"CZK 60,000",B,Very good,Brick,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,900",CZK 740,238692,4+kk,7/22/2022,146 m²,Partly,3,,109.74,980.99,386.17,954.65,148.18,1005.58,631.08,500.51,373.2,376.53,"Hornoměcholupská, Prague - Hostivař",50.0521645,14.5301399,,,,"CZK 59,800",C,Good,Brick,Complete,,,,,,Standard,,,,Personal,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,800",746089,3+kk,10/17/2022,45 m²,Fully furnished,2,1.0,159.4,322.07,148.98,275.16,173.97,209.67,101.95,673.74,157.65,551.83,"Umělecká, Prague - Holešovice",50.10187,14.428,,,,"CZK 20,000",G,Very good,Brick,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,300",741848,2+kk,10/10/2022,38 m²,Unfurnished,19,1.0,122.96,512.95,144.57,811.18,323.7,71.33,239.39,721.53,271.07,155.23,Prague - Záběhlice,50.05717,14.49623,,,,"CZK 14,000",G,Very good,Prefab concrete,Complete,,,,,Central,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 5,000",744088,3+kk,10/15/2022,68 m²,Partly,1,,204.14,814.58,199.39,383.89,106.43,571.1,358.65,368.21,379.65,360.78,"Sevastopolská, Prague - Vršovice",50.07088,14.44827,,,,"CZK 25,000",G,New-build,Brick,Complete,,,,,,Standard,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000",CZK 880,746088,2 bedroom,11/1/2022,58 m²,Unfurnished,5,1.0,125.81,257.91,184.94,698.46,169.5,12.83,342.65,342.65,366.08,235.45,"Kubánské náměstí, Prague - Vršovice",50.07069,14.47921,,,,"CZK 38,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",742166,Studio,12/1/2022,30 m²,Fully furnished,3,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,490","CZK 1,955",746083,2+kk,10/18/2022,50 m²,Partly,2,1.0,247.39,791.7,312.51,743.86,316.12,769.01,506.88,330.03,544.42,154.82,"Ruská, Prague - Vršovice",50.07286833333,14.46363333333,1.0,,,"CZK 19,445",G,Good,Brick,,,,,,,,,,,Personal,,,,,"CZK 19,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
