Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Domácí mazlíčci vítáni,Parking,Balkón 8 m²,Sklep 4 m²,Garage,Sklep 6 m²,Terasa 13 m²,Age,Designe,Ownership,Heating,Balkón 5 m²,Sklep 2 m²,Balkón 8.73 m²,Terasa 2.67 m²,Reconstruction,Lodžie 6 m²,Balkón 7 m²,Sklep 3 m²,Cellar,Balkón 2 m²,Sklep 8 m²,Balkón 4 m²,Lodžie 4 m²,Balcony,Terrace,Sklep 28 m²,Lodžie 15 m²,Sklep 5 m²,Balkón 18 m²,Sklep 3.2 m²,New-build,Balkón 30 m²,Lodžie 5 m²,Lodžie 7 m²,Balkón 6 m²,Terasa 18 m²,Terasa 200 m²,Sklep 15 m²,Terasa 350 m²,Enclosed balcony,Balkón 3 m²,Balkón 40 m²,Terasa 50 m²,Lodžie 3 m²,Sklep 12 m²,Terasa 5 m²,Sklep 10 m²,Balkón 10 m²,Terasa 15 m²,Balkón 11 m²,Balkón 28 m²,Balkón 32 m²,Terasa 32 m²,Administrative fee,Lodžie 8 m²,Lodžie 10 m²,Terasa 20 m²,Balkón 2.29 m²,Terasa 12 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 6.1 m²,Sklep 3.7 m²,Terasa 11 m²,Terasa 8 m²,Terasa 6 m²,Lodžie 9 m²,Terasa 14 m²,Terasa 25 m²,Balkón 15 m²,Terasa 10 m²,Sklep 1 m²,Balkón 13 m²,Sklep 7 m²,Balkón 33 m²,Terasa 29 m²,Balkón 9 m²,Sklep 1.5 m²,Terasa 30 m²,Terasa 7 m²,Terasa 45 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Balkón 1 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Balkón 12 m²,Sklep 20 m²,Balkón 16 m²,Terasa 14.1 m²,Terasa 9 m²,Sklep 14 m²,Terasa 40 m²,Balkón 35 m²,Balkón 70 m²,Plot space,Lodžie 12 m²
"CZK 34,898","CZK 11,632",744188,2 bedroom,12/5/2022,90 m²,Fully furnished,4,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,500",746821,1 bedroom,11/1/2022,40 m²,Fully furnished,1,,211.98,904.35,517.72,607.83,309.37,590.15,205.35,354.45,856.68,392.14,"Plojharova, Prague - Břevnov",50.08525,14.34071,"CZK 15,000",G,Very good,Brick,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,409","CZK 2,773",746820,3+1,12/1/2022,120 m²,Partly,2,,25.93,360.7,46.42,232.32,33.36,105.06,92.01,74.31,586.34,180.97,"Korunní, Prague - Vinohrady",50.07554,14.45409,CZK 0,G,Good,Brick,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 4,500",746819,2+kk,10/21/2022,58 m²,Partly,3,1.0,390.93,1570.82,406.41,1186.15,215.85,1225.93,1113.04,253.04,659.99,51.21,Prague - Liboc,50.0903,14.32979,"CZK 26,500",G,Very good,Brick,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,900","CZK 5,000",746818,Studio,10/21/2022,31 m²,Unfurnished,5,1.0,66.61,815.62,72.03,75.6,24.4,155.26,79.47,1143.26,152.54,432.32,"Milady Horákové, Prague - Hradčany",50.0968,14.40351,"CZK 17,900",G,Very good,Brick,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 3,600",746813,2+kk,11/7/2022,53 m²,Unfurnished,-1,,206.94,2649.13,361.37,2321.37,427.18,180.14,1285.21,1635.43,1068.71,370.63,"V Úvalu, Prague - Motol",50.07128,14.34237,"CZK 21,600",G,New-build,Brick,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,500",361523,Studio,11/1/2022,35 m²,Fully furnished,2,,388.02,404.88,571.57,815.81,299.64,347.85,460.74,749.65,718.28,149.67,"Stará náves, Prague - Letňany",50.1390794,14.5127743,"CZK 18,500",C,Very good,Brick,1.0,1.0,,,,,,10 to 30 years,Standard,Cooperative,Central,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,000","CZK 5,500",741020,3+kk,11/7/2022,79 m²,Fully furnished,11,1.0,54.97,451.33,198.06,374.39,84.03,401.57,422.66,227.9,685.27,218.91,Prague - Řepy,50.0654,14.30412,"CZK 40,000",B,Very good,Prefab concrete,,,,,,,,,,,Central,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 4,000",746810,1 bedroom,10/20/2022,29 m²,Partly,6,1.0,480.76,1020.74,223.21,997.69,195.69,1026.76,288.22,527.42,375.38,329.8,"Angelovova, Prague - Modřany",50.00926,14.42769,"CZK 10,000",D,Good,Prefab concrete,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,500",746809,2+kk,12/1/2022,54 m²,Fully furnished,3,1.0,99.36,1640.29,405.59,1501.44,102.98,824.47,929.13,1322.85,904.93,725.99,"Višňová, Prague - Krč",50.03177,14.44756,"CZK 20,000",B,Very good,Prefab concrete,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
