Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Age,Designe,Ownership,Heating,Terasa 4 m²,Sklep 4 m²,Garage,New-build,Parking,Terasa 12 m²,Reconstruction,Sklep 2 m²,Balkón 6 m²,Terasa 8 m²,Balkón 7 m²,Sklep 5 m²,Balkón 2 m²,Lodžie 4 m²,Lodžie 9 m²,Balkón 8 m²,Sklep 8.1 m²,Balkón 1 m²,Sklep 8 m²,Lodžie 7 m²,Sklep 3.1 m²,Lodžie 1 m²,Terasa 20 m²,Sklep 3 m²,Terasa 5 m²,Lodžie 3 m²,Terasa 32 m²,Domácí mazlíčci vítáni,Administrative fee,Cellar,Balkón 4 m²,Lodžie 10 m²,Sklep 15 m²,Balkón 5 m²,Terasa 9 m²,Balkón 9 m²,Balkón 10 m²,Lodžie 5 m²,Balkón 3 m²,Balkón 40 m²,Terasa 50 m²,Sklep 6 m²,Balkón 15 m²,Terasa 25 m²,Lodžie 14.6 m²,Terasa 10 m²,Terasa 24 m²,Lodžie 6 m²,Sklep 12 m²,Enclosed balcony,Lodžie 5.1 m²,Terasa 11 m²,Lodžie 8 m²,Sklep 7 m²,Terasa 1 m²,Terasa 37 m²,Sklep 1 m²,Terasa 17 m²,Terasa 15 m²,Sklep 14 m²,Terasa 13 m²,Balkón 8.73 m²,Terasa 2.67 m²,Sklep 28 m²,Lodžie 15 m²,Balkón 18 m²,Sklep 3.2 m²,Balkón 30 m²,Terasa 18 m²,Terasa 200 m²,Terasa 350 m²,Sklep 10 m²,Balkón 11 m²,Balkón 28 m²,Balkón 2.29 m²,Terasa 16.1 m²,Terasa 6 m²,Terasa 14 m²,Balkón 13 m²,Balkón 33 m²,Terasa 29 m²,Terasa 100 m²,Terasa 30 m²,Terasa 7 m²,Terasa 45 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Sklep 20 m²,Balkón 12 m²,Terasa 14.1 m²,Terasa 40 m²,Balkón 70 m²,Plot space,Lodžie 12 m²
"CZK 11,500","CZK 3,800","CZK 12,000",747463,Small studio,10/25/2022,4,G,21 m²,Fully furnished,Very good,Brick,1.0,180.24,561.73,109.12,301.5,0.46,241.06,390.47,969.32,291.58,421.06,Prague - Karlín,50.09458,14.45509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,175","CZK 6,725",,744561,Studio,12/9/2022,2,,33 m²,Fully furnished,,,1.0,103.76,101.45,145.18,163.35,18.04,250.43,455.25,533.02,419.63,148.07,"Sokolovská, Prague - Karlín",50.0933405,14.449225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 34,898","CZK 11,632",,744188,2 bedroom,12/5/2022,4,,90 m²,Fully furnished,,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",,746652,2 bedroom,12/19/2022,3,,89 m²,Fully furnished,,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 34,425","CZK 11,475",,742129,2 bedroom,11/1/2022,6,,85 m²,Fully furnished,,,1.0,228.78,477.17,188.19,476.21,152.93,354.17,176.92,420.71,579.69,570.91,"Wenzigova, Prague - Nové Město",50.0708256,14.4316409,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 1,000","CZK 20,000",581561,Studio,11/1/2022,2,B,43 m²,Fully furnished,New-build,Brick,,234.41,357.34,159.96,2095.09,51.1,484.0,276.41,2488.18,416.64,280.22,"Slavětínská, Prague - Klánovice",50.09285,14.667203,,,Up to 10 years,Luxurious,Personal,Distance,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 1,787","CZK 40,000",747458,2 bedroom,10/25/2022,4,G,51 m²,Fully furnished,Very good,Brick,,257.65,999.84,76.83,327.05,63.37,149.96,322.0,276.46,425.93,352.0,"Buchovcova, Prague - Žižkov",50.09032,14.47262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,175","CZK 8,725",,747460,Studio,12/24/2022,5,,29 m²,Fully furnished,,,1.0,199.29,530.26,41.72,442.51,28.42,296.91,250.49,239.04,477.71,395.44,"Slavíkova, Prague - Žižkov",50.0799163,14.4476377,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,425","CZK 12,475",,747459,2+kk,12/24/2022,3,,60 m²,Fully furnished,,,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 2,000","CZK 30,000",525017,2+kk,11/1/2022,3,C,38 m²,Partly,Very good,Prefab concrete,,483.75,1103.55,494.41,737.27,348.93,513.91,727.52,346.53,642.68,319.58,Prague - Libeň,50.120086582637,14.446705930164,,,30 - 50 years,Standard,Personal,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 56,250","CZK 18,750",,747450,2+kk,12/4/2022,3,,47 m²,Fully furnished,,,1.0,145.3,409.63,254.35,292.12,59.28,309.45,136.5,419.43,177.03,511.6,"Elišky Krásnohorské, Prague - Josefov",50.0906304,14.4198248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 7,269","CZK 24,000",747297,2+kk,10/24/2022,9,G,59 m²,Fully furnished,Very good,Prefab concrete,1.0,98.46,811.24,163.79,285.18,344.94,266.59,281.48,532.52,226.88,272.41,"Rýmařovská, Prague - Letňany",50.1358,14.50692,,,10 to 30 years,Luxurious,Personal,Electric boiler,,,,,,,Complete,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 6,000","CZK 21,000",747428,3+kk,11/1/2022,9,G,75 m²,Partly,Very good,Prefab concrete,1.0,363.0,578.15,448.16,522.77,63.15,1587.24,269.56,854.38,1320.13,204.04,"Postupická, Prague - Záběhlice",50.04569,14.49196,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 1,387","CZK 42,000",747429,2+kk,10/24/2022,7,A,74 m²,Partly,Very good,Brick,1.0,164.03,284.11,153.59,500.31,135.88,314.59,59.78,59.78,255.77,74.07,"Karpatská, Prague - Vršovice",50.0697,14.47606,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000","CZK 50,000",747427,2+kk,10/24/2022,5,A,56 m²,Partly,New-build,Prefab concrete,1.0,273.48,1267.27,389.64,1364.3,369.74,810.35,645.27,786.94,1076.37,724.78,"Hornoměcholupská, Prague - Horní Měcholupy",50.04896,14.56195,,,,,Personal,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,000","CZK 20,000",588144,2+kk,11/1/2022,3,D,60 m²,Fully furnished,Very good,Brick,,356.63,439.08,219.02,466.02,114.3,241.1,466.64,498.17,598.55,460.83,"Křížkovského, Prague - Žižkov",50.081254,14.449109,,,,,Personal,Gas boiler,,,,,,,Interior,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 3,000","CZK 22,000",747416,2+kk,10/24/2022,1,C,46 m²,Fully furnished,Good,Prefab concrete,1.0,233.61,690.06,221.18,696.57,205.08,686.76,97.99,623.83,86.14,43.56,"Bašteckého, Prague - Stodůlky",50.03835,14.33691,,,10 to 30 years,,Personal,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 3,000","CZK 20,000",688167,Studio,11/1/2022,5,B,34 m²,Partly,New-build,Brick,1.0,23.52,511.31,126.89,531.33,110.09,476.06,287.76,195.6,265.31,456.05,"Petrohradská, Prague - Vršovice",50.06435,14.45252,1.0,,Up to 10 years,Standard,Personal,Central,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,300","CZK 20,000",747413,Small studio,10/24/2022,2,G,30 m²,Partly,Very good,Prefab concrete,1.0,165.87,613.37,205.13,616.07,211.27,451.01,537.26,173.03,733.76,105.55,Prague - Hlubočepy,50.03157,14.37066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
