Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Refundable security deposit,Building type,Condition,EPC,Terasa 25 m²,Sklep 8 m²,New-build,Parking,Garage,Age,Balkón 4 m²,Sklep 15 m²,Designe,Balkón 18 m²,Sklep 5 m²,Ownership,Heating,Sklep 17 m²,Reconstruction,Sklep 1 m²,Administrative fee,Cellar,Sklep 3 m²,Lodžie 5.1 m²,Balkón 7 m²,Lodžie 4 m²,Lodžie 3 m²,Terasa 70 m²,Terasa 21 m²,Balkón 28 m²,Sklep 2 m²,Balkón 5 m²,Sklep 6 m²,Domácí mazlíčci vítáni,Lodžie 6 m²,Balkón 10 m²,Balkón 1.5 m²,Terasa 11 m²,Sklep 10 m²,Terasa 6 m²,Balkón 3 m²,Terasa 32 m²,Balkón 2 m²,Terasa 9 m²,Balkón 6 m²,Lodžie 3.2 m²,Terasa 17 m²,Sklep 4 m²,Balkón 14 m²,Enclosed balcony,Terasa 20 m²,Balkón 8 m²,Sklep 58 m²,Lodžie 7 m²,Balkón 1 m²,Balkón 6.1 m²,Sklep 2.4 m²,Terasa 8 m²,Balkón 12 m²,Sklep 3.2 m²,Terasa 12 m²,Terasa 5 m²,Terasa 200 m²,Terasa 78 m²,Terasa 18 m²,Balkón 40 m²,Terasa 50 m²,Terasa 4 m²,Lodžie 9 m²,Sklep 8.1 m²,Sklep 3.1 m²,Lodžie 1 m²,Lodžie 10 m²,Balkón 9 m²,Lodžie 5 m²,Balkón 15 m²,Lodžie 14.6 m²,Terasa 10 m²,Terasa 24 m²,Sklep 12 m²,Lodžie 8 m²,Sklep 7 m²,Lodžie 2 m²,Terasa 1 m²,Terasa 37 m²,Terasa 15 m²,Terasa 13 m²,Balkón 8.73 m²,Terasa 2.67 m²,Sklep 28 m²,Lodžie 15 m²,Terasa 350 m²,Balkón 11 m²,Balkón 2.29 m²,Terasa 16.1 m²,Terasa 14 m²,Balkón 13 m²,Balkón 33 m²,Terasa 29 m²,Terasa 100 m²,Terasa 30 m²,Terasa 7 m²,Terasa 45 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Sklep 20 m²,Terasa 14.1 m²,Terasa 40 m²,Balkón 70 m²,Plot space,Lodžie 12 m²,Terasa 300 m²
"CZK 15,915","CZK 5,305",746449,Studio,12/18/2022,20 m²,Fully furnished,5,1.0,86.47,662.34,358.81,554.53,76.78,567.42,340.69,376.18,415.89,386.16,"Orebitská, Prague - Žižkov",50.0864225,14.4459574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,425","CZK 12,475",745389,2+kk,12/16/2022,61 m²,Fully furnished,2,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",748040,2+kk,12/27/2022,60 m²,Fully furnished,3,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 7,500",748013,2+kk,12/1/2022,78 m²,Partly,,1.0,443.02,1116.09,565.92,1097.64,108.72,1042.93,933.47,1166.3,967.84,697.43,"Nademlejnská, Prague - Hloubětín",50.101,14.52862,,,"CZK 30,000",Brick,New-build,C,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,493","CZK 9,497",742401,2+kk,12/1/2022,53 m²,Fully furnished,3,1.0,202.93,1083.69,84.41,522.08,140.61,459.37,143.09,392.14,304.14,134.72,"Drahobejlova, Prague - Libeň",50.1057951,14.4902938,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,000",747198,Studio,11/7/2022,30 m²,Partly,3,1.0,763.71,1654.66,1437.38,2104.36,287.51,1550.48,1507.19,2195.18,487.86,291.95,Prague - Letňany,50.14248,14.52408,,,"CZK 27,000",Brick,New-build,B,,,1.0,,,Up to 10 years,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 5,800",748021,2+kk,12/1/2022,46 m²,Partly,,1.0,443.02,1116.09,565.92,1097.64,108.72,1042.93,933.47,1166.3,967.84,697.43,"Nademlejnská, Prague - Hloubětín",50.101,14.52862,,,"CZK 21,000",Brick,New-build,C,,,1.0,,1.0,Up to 10 years,,,Luxurious,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 3,000",75142,Studio,11/1/2022,39 m²,Fully furnished,1,,386.11,337.87,327.6,420.89,126.16,333.83,1007.3,712.74,535.42,295.41,"Mattioliho, Prague - Záběhlice",50.0527787,14.5150765,,,"CZK 15,000",Brick,,C,,,,,,,,,,,,Personal,Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 47,000","CZK 10,000",748018,5+1,11/1/2022,220 m²,Partly,2,1.0,181.77,836.05,177.05,232.05,126.91,511.38,440.05,285.41,538.27,134.66,"Verdunská, Prague - Bubeneč",50.10302,14.40106,,,"CZK 100,000",Brick,Very good,G,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 6,000",747617,3+kk,10/25/2022,80 m²,Partly,1,,126.28,2300.22,399.97,347.12,935.48,1732.34,1114.44,1950.02,1361.64,359.5,Prague - Kyje,50.09122,14.54083,,,"CZK 30,000",Brick,Good,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,978","CZK 7,992",748009,Studio,12/1/2022,30 m²,Fully furnished,3,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská, Prague - Žižkov",50.0830187,14.4654473,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,500",747071,2 bedroom,10/22/2022,47 m²,Unfurnished,1,,319.7,661.72,196.57,456.8,233.29,651.71,426.77,945.47,182.73,272.12,"Nad Ostrovem, Prague - Podolí",50.05418,14.42091,,,"CZK 19,500",Brick,Good,F,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 2,800",698697,Small studio,2/1/2022,26 m²,Partly,2,1.0,114.04,504.38,207.1,368.15,167.38,951.53,180.99,200.13,198.72,103.85,"Jahodová, Prague - Záběhlice",50.05784,14.50738,,,"CZK 18,000",Prefab concrete,Very good,G,,,,,,,,,Standard,,,Cooperative,Distance,,Interior,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,490","CZK 1,798",748006,Studio,10/28/2022,34 m²,Unfurnished,6,1.0,196.34,253.41,75.7,608.16,224.96,225.75,94.65,223.58,328.81,203.85,"Jeseniova, Prague - Žižkov",50.08625583333,14.45855972222,1.0,,"CZK 16,288",Prefab concrete,Very good,B,,,,,,,,,,,,Personal,,,,,"CZK 16,288",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,000","CZK 5,387",569398,2 bedroom,7/15/2022,55 m²,Fully furnished,4,1.0,236.07,50.81,24.88,346.34,68.6,215.44,75.18,146.89,742.92,767.55,"Bruselská, Prague - Vinohrady",50.0725767,14.4357303,,,"CZK 25,000",Brick,,,,,,,,,,,,,,Personal,,,Complete,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 5,100",747068,2+kk,11/15/2022,50 m²,Partly,3,,253.08,172.63,144.96,1116.35,125.03,951.29,353.84,563.95,635.33,189.76,"Voskovcova, Prague - Hlubočepy",50.02952,14.36494,,,"CZK 30,000",Brick,Very good,G,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000",747063,1 bedroom,11/15/2022,35 m²,Fully furnished,3,,125.5,973.64,139.16,1383.75,13.22,194.19,120.0,433.81,408.52,257.2,"Bulovka, Prague - Libeň",50.11529,14.46651,,,"CZK 30,000",Brick,Very good,G,,,,,,,,,Standard,,,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500",CZK 700,747992,3+kk,10/27/2022,72 m²,Partly,1,,163.96,817.18,33.85,446.28,133.92,263.57,527.22,624.56,538.64,305.26,"Jaromírova, Prague - Nusle",50.06492,14.42755,,,"CZK 16,500",Brick,Good,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 5,000",673219,3+kk,10/24/2022,83 m²,Partly,3,1.0,242.69,921.0,457.78,584.04,419.53,476.82,319.93,560.32,596.0,564.93,Prague - Košíře,50.0682889,14.3700378,,,"CZK 28,000",Brick,New-build,E,,,1.0,1.0,1.0,Up to 10 years,,,Luxurious,,,Personal,Central,,Complete,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,500",747991,2+kk,10/31/2022,50 m²,Fully furnished,1,1.0,189.6,915.34,160.82,364.73,32.11,331.34,218.17,258.11,271.54,85.81,"Na Výtoni, Prague - Nové Město",50.06859,14.41669,,,"CZK 24,500",Brick,Very good,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 4,159",747168,2+kk,12/1/2022,50 m²,Fully furnished,3,1.0,106.39,1031.64,62.02,489.56,102.35,469.58,272.31,414.34,298.59,124.25,"U Svobodárny, Prague - Libeň",50.10581,14.48876,,,"CZK 40,000",Brick,New-build,C,,,1.0,,,Up to 10 years,,,,,,Personal,Central,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500",CZK 700,747990,3+1,10/27/2022,72 m²,Partly,2,,163.96,817.18,33.85,446.28,133.92,263.57,527.22,624.56,538.64,305.26,"Jaromírova, Prague - Nusle",50.06492,14.42755,,,"CZK 16,500",Brick,Very good,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 4,000",268682,2+kk,10/2/2022,43 m²,Unfurnished,2,1.0,271.31,1126.68,355.65,1119.33,551.74,197.24,233.66,665.19,567.45,137.82,"Snopkova, Prague - Kamýk",50.0162578,14.433737,1.0,,"CZK 30,000",Prefab concrete,Good,,,,,,,30 - 50 years,,,,,,Cooperative,Distance,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,400",747981,2+kk,10/27/2022,41 m²,Fully furnished,3,1.0,184.33,611.76,188.97,1359.56,470.3,711.39,419.48,262.07,475.66,201.48,"Machkova, Prague - Chodov",50.03347,14.51228,,,"CZK 30,000",Prefab concrete,Very good,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 63,000","CZK 21,000",735517,3+kk,11/7/2022,110 m²,Fully furnished,6,1.0,30.08,409.78,41.21,139.22,4.79,323.92,155.78,264.84,623.64,381.72,"Myslíkova, Prague - Nové Město",50.0781479,14.4179311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 3,500",747975,2 bedroom,11/1/2022,52 m²,Fully furnished,3,1.0,320.03,1208.11,261.22,1028.81,562.95,725.99,414.43,243.97,901.0,140.39,"Sečská, Prague - Strašnice",50.07138,14.50266,,,"CZK 20,000",Prefab concrete,Very good,G,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 5,000",747973,3+kk,10/27/2022,65 m²,Partly,3,,477.19,2102.49,510.04,1605.59,587.7,1875.54,1845.58,2953.97,621.52,132.45,"Travná, Prague - Kyje",50.08337,14.55513,,,"CZK 21,500",Prefab concrete,Very good,G,,,,,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000",CZK 0,747961,2+kk,11/21/2022,65 m²,Fully furnished,1,1.0,229.33,754.56,219.82,107.36,124.2,432.16,763.39,759.64,514.68,140.69,"Kališnická, Prague - Žižkov",50.09001,14.46409,,,"CZK 30,000",Brick,New-build,B,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,990","CZK 2,784",747960,2 bedroom,10/28/2022,70 m²,Unfurnished,3,1.0,338.98,901.45,135.2,411.92,102.21,184.54,539.34,1011.43,374.86,875.19,"U smaltovny, Prague - Holešovice",50.10317805555,14.43564805555,,,"CZK 27,774",Brick,Very good,D,,,,,,,,,,,,Personal,,,,,"CZK 27,774",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000",746305,2 bedroom,10/18/2022,66 m²,Partly,5,,262.7,628.25,58.99,421.72,12.88,330.45,318.9,79.21,309.5,342.61,"U Kanálky, Prague - Vinohrady",50.07829,14.44611,,,"CZK 22,000",Brick,Very good,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 5,500",650333,2+kk,7/1/2021,51 m²,Fully furnished,2,1.0,58.07,769.47,56.05,25.72,36.16,16.83,227.97,425.27,134.88,432.73,Prague - Nové Město,50.081847,14.419109,,,"CZK 32,500",Brick,Very good,G,,,,,,,,,Luxurious,,,Personal,Central,,Interior,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,900","CZK 2,900",747668,2+kk,10/26/2022,70 m²,Partly,6,1.0,53.62,491.12,49.94,757.1,100.21,674.56,103.85,182.31,999.85,332.1,"Prachnerova, Prague - Košíře",50.07038,14.38045,,,"CZK 50,000",Brick,Very good,G,,,,1.0,,,,,,,,,,,Interior,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,175","CZK 10,725",747955,1 bedroom,11/1/2022,30 m²,Fully furnished,3,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,675","CZK 9,225",742158,Studio,11/1/2022,30 m²,Fully furnished,2,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,500",CZK 133,745175,3+kk,12/16/2022,69 m²,Fully furnished,12,1.0,,,,,,,,,,,"Mukařovského, Prague - Stodůlky",50.04595,14.32223,,,"CZK 63,000",Other,Very good,A,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 55,000","CZK 8,000",747943,3+kk,1/1/2023,128 m²,Fully furnished,5,1.0,135.64,501.69,49.29,172.04,34.03,364.04,529.27,334.51,319.97,688.92,Prague - Smíchov,50.07162,14.40618,,,"CZK 110,000",Brick,New-build,A,,,1.0,1.0,1.0,Up to 10 years,,,Luxurious,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 6,558",744686,4+kk,10/10/2022,86 m²,Partly,4,1.0,115.09,232.26,104.19,202.12,115.51,115.98,298.16,247.74,996.48,121.69,"Petržílkova, Prague - Stodůlky",50.05055,14.34251,,,"CZK 37,000",Brick,New-build,C,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 5,500",747942,2+kk,11/7/2022,58 m²,Partly,6,1.0,221.98,825.8,326.23,649.18,122.85,552.1,440.05,595.8,919.83,277.86,"Grafická, Prague - Smíchov",50.07341,14.39632,,,"CZK 50,000",Brick,New-build,B,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 2,000",160519,2+kk,11/1/2022,35 m²,Fully furnished,1,,253.24,462.44,117.75,423.46,28.88,461.36,418.69,721.83,453.54,86.54,"Liliová, Prague - Staré Město",50.0848487,14.4165826,,,"CZK 25,000",Brick,Very good,,,,,,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
