Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Age,Designe,Floor space,Fully furnished,Condition,Ownership,EPC,Heating,Balcony,Sklep 5 m²,Lift,New-build,Lodžie 4 m²,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balkón 3 m²,Sklep 4 m²,Parking,Garage,Reconstruction,Sklep 6 m²,Lodžie 3 m²,Balkón 2.6 m²,Sklep 2 m²,Sklep 3 m²,Balkón 5 m²,Cellar,Sklep 58 m²,Balkón 6 m²,Balkón 6.4 m²,Sklep 1.3 m²,Domácí mazlíčci vítáni,Balkón 2.5 m²,Sklep 7 m²,Terasa 5 m²,Terrace,Terasa 14 m²,Lodžie 8 m²,Terasa 8 m²,Lodžie 6 m²,Terasa 4 m²,Terasa 9 m²,Balkón 4 m²,Balkón 12 m²,Lodžie 12 m²,Balkón 2 m²,Lodžie 6.1 m²,Terasa 12 m²,Sklep 17 m²,Balkón 40 m²,Terasa 50 m²,Terasa 10 m²,Sklep 1.2 m²,Balkón 8 m²,Sklep 8.1 m²,Terasa 40 m²,Lodžie 10 m²,Sklep 1 m²,Lodžie 7 m²,Terasa 32 m²,Terasa 70 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 20 m²,Lodžie 5 m²,Balkón 7 m²,Terasa 25 m²,Balkón 10 m²,Balkón 50 m²,Lodžie 50 m²,Terasa 24 m²,Balkón 5.7 m²,Sklep 12 m²,Lodžie 3.2 m²,Sklep 8 m²,Sklep 15 m²,Balkón 18 m²,Administrative fee,Lodžie 5.1 m²,Terasa 21 m²,Balkón 28 m²,Balkón 1.5 m²,Terasa 11 m²,Sklep 10 m²,Terasa 6 m²,Terasa 17 m²,Balkón 14 m²,Balkón 1 m²,Sklep 2.4 m²,Enclosed balcony,Terasa 200 m²,Terasa 78 m²,Lodžie 9 m²,Lodžie 1 m²,Balkón 9 m²,Balkón 15 m²,Lodžie 14.6 m²,Terasa 1 m²,Terasa 37 m²,Terasa 13 m²,Balkón 8.73 m²,Terasa 2.67 m²,Sklep 28 m²,Lodžie 15 m²,Terasa 18 m²,Terasa 350 m²,Balkón 11 m²,Terasa 15 m²,Balkón 2.29 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 13 m²,Balkón 33 m²,Terasa 29 m²,Terasa 100 m²,Terasa 30 m²,Terasa 7 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Sklep 20 m²,Terasa 14.1 m²,Balkón 70 m²,Terasa 3 m²,Plot space
"CZK 17,000","CZK 3,000","CZK 20,000",688167,Studio,11/1/2022,5,Brick,Up to 10 years,Standard,34 m²,Partly,New-build,Personal,B,Central,1.0,1.0,1.0,1.0,1.0,23.52,511.31,126.89,531.33,110.09,476.06,287.76,195.6,265.31,456.05,"Petrohradská, Prague - Vršovice",50.06435,14.45252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,500","CZK 17,000",748331,Studio,11/7/2022,2,Other,Up to 10 years,Standard,31 m²,Fully furnished,New-build,Personal,A,Central,,,1.0,1.0,,342.78,726.85,790.48,1771.92,162.54,1113.67,1404.44,1181.38,1220.0,810.76,"U Nového dvora, Prague - Lhotka",50.01785,14.45167,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,250","CZK 13,750",,748330,2+kk,12/30/2022,1,,,,55 m²,Fully furnished,,,,,,,1.0,,,76.78,949.92,41.94,296.91,109.31,229.41,373.04,327.5,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,881","CZK 6,294",,748329,2+kk,12/30/2022,6,,,,50 m²,Fully furnished,,,,,,,1.0,,,215.05,448.21,164.31,116.36,107.44,158.97,232.13,218.76,1153.31,184.93,"V Hůrkách, Prague - Stodůlky",50.0496224,14.3463558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 36,300","CZK 12,100",,747870,3+1,12/26/2022,5,,,,96 m²,Fully furnished,,,,,,,1.0,,,99.53,260.16,62.64,93.65,6.85,222.0,321.74,519.59,396.11,642.83,"Londýnská, Prague - Vinohrady",50.0761895,14.4328649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,748328,2+kk,12/30/2022,2,,,,60 m²,Fully furnished,,,,,,,1.0,,,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,100","CZK 13,700",,748327,2+kk,12/30/2022,2,,,,68 m²,Fully furnished,,,,,,,1.0,,,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 6,000","CZK 50,000",748213,3+kk,10/30/2022,3,Prefab concrete,,,71 m²,Unfurnished,Very good,,G,Central,,,,,,303.86,537.11,326.81,613.09,502.67,380.61,110.93,96.37,785.36,78.19,"Hostýnská, Prague - Strašnice",50.07962,14.49377,,,,,Complete,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,130","CZK 36,000",748325,2+kk,11/1/2022,5,Other,,,54 m²,Fully furnished,Very good,,B,,,,1.0,,,83.28,1823.3,985.98,1582.16,330.25,1229.82,677.62,1290.96,1196.48,599.75,"Mezi Vodami, Prague - Modřany",50.01296,14.40134,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 11,453","CZK 3,817",,745100,4+kk,12/26/2022,-1,,,,60 m²,Fully furnished,,,,,,,,,,128.07,590.39,54.39,441.02,27.54,567.88,151.31,255.51,710.79,142.74,"Masarykovo nábřeží, Prague - Nové Město",50.0778219,14.4145055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 2,900","CZK 20,000",368744,Studio,11/30/2022,4,Brick,Up to 10 years,Luxurious,30 m²,Fully furnished,New-build,Personal,A,Central,,,1.0,1.0,,197.72,899.39,119.37,346.81,25.02,326.84,329.81,559.75,355.93,47.25,"Kurta Konráda, Prague - Libeň",50.1050745,14.4879475,,,1.0,,Complete,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,500","CZK 6,000","CZK 26,500",699962,3+kk,12/1/2022,1,Brick,,Standard,65 m²,Partly,Good,Personal,G,Central,,,1.0,,,195.22,670.67,214.34,409.13,207.67,595.83,178.37,288.11,229.42,248.55,"Moldavská, Prague - Vršovice",50.06991,14.46204,,,,,Complete,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,000","CZK 36,000",577138,Studio,11/1/2022,3,Brick,Up to 10 years,Standard,36 m²,Fully furnished,New-build,Personal,,Distance,,,1.0,1.0,,161.07,336.22,407.65,1176.56,269.98,1011.5,692.03,732.94,973.64,351.66,Prague - Hlubočepy,50.0314873,14.3630764,,,,,Complete,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,700","CZK 40,000",748300,2+kk,10/30/2022,3,Brick,Up to 10 years,,47 m²,Fully furnished,Very good,Personal,C,,,,,,,266.56,1145.89,581.03,818.22,269.04,568.37,236.91,247.04,391.04,456.99,"Prusická, Prague - Strašnice",50.06357,14.50812,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
