Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Heating,Designe,Condition,Ownership,EPC,Reconstruction,Sklep 1 m²,Lodžie 6 m²,Balcony,Terrace,Lodžie 5 m²,Parking,Age,New-build,Lodžie 4 m²,Sklep 2 m²,Sklep 3 m²,Lodžie 7 m²,Domácí mazlíčci vítáni,Terasa 40 m²,Sklep 5 m²,Balkón 10 m²,Terasa 2 m²,Cellar,Balkón 6 m²,Balkón 2 m²,Sklep 8 m²,Balkón 4 m²,Balkón 15 m²,Balkón 7 m²,Sklep 6 m²,Terasa 35 m²,Sklep 2.4 m²,Sklep 4 m²,Balkón 3 m²,Terasa 6 m²,Enclosed balcony,Balkón 8 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 54 m²,Terasa 42 m²,Lodžie 3 m²,Balkón 5 m²,Terasa 50 m²,Sklep 10 m²,Lodžie 12 m²,Lodžie 8 m²,Balkón 9 m²,Balkón 29 m²,Terasa 30 m²,Terasa 49 m²,Terasa 12 m²,Sklep 44 m²,Balkón 6.4 m²,Sklep 1.3 m²,Administrative fee,Terasa 4 m²,Terasa 21 m²,Lodžie 10 m²,Terasa 10 m²,Sklep 9 m²,Terasa 200 m²,Terasa 7 m²,Terasa 15 m²,Terasa 5 m²,Terasa 25 m²,Terasa 20 m²,Sklep 1.2 m²,Balkón 2.1 m²,Balkón 33 m²,Terasa 12.7 m²,Terasa 18 m²,Terasa 70 m²,Terasa 100 m²,Balkón 12 m²,Balkón 1 m²,Terasa 3 m²,Balkón 3.2 m²,Terasa 11 m²,Lodžie 8.7 m²,Sklep 2.7 m²,Terasa 9 m²,Balkón 60 m²,Terasa 60 m²,Balkón 40 m²,Balkón 18 m²,Terasa 13 m²,Balkón 16 m²,Sklep 12 m²,Terasa 14 m²,Terasa 350 m²,Sklep 7 m²,Terasa 27 m²,Terasa 300 m²,Terasa 78 m²,Balkón 2.6 m²,Sklep 58 m²,Terasa 8 m²,Lodžie 6.1 m²,Sklep 17 m²,Sklep 8.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Lodžie 3.2 m²,Lodžie 5.1 m²,Balkón 28 m²,Balkón 1.5 m²,Terasa 17 m²,Balkón 14 m²,Sklep 15 m²,Terasa 37 m²,Balkón 8.73 m²,Terasa 2.67 m²,Lodžie 15 m²,Balkón 11 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 13 m²,Terasa 29 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Lodžie 2.7 m²,Lodžie 13 m²,Sklep 20 m²,Terasa 14.1 m²
"CZK 29,925","CZK 9,975",748677,2+kk,1/1/2023,85 m²,Fully furnished,2,1.0,1.0,212.7,228.47,352.52,747.6,334.66,256.59,642.73,430.1,342.21,69.75,"Olšanská d, Prague - Žižkov",50.0830689,14.4668702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,800","CZK 6,600",748672,Studio,1/1/2023,30 m²,Fully furnished,3,1.0,,220.86,384.75,80.85,372.42,45.38,284.39,180.4,189.9,493.32,271.12,"Ondříčkova, Prague - Žižkov",50.0793603,14.4488049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,513","CZK 7,837",748671,2 bedroom,1/1/2023,50 m²,Fully furnished,6,,,136.88,1054.47,102.04,289.4,54.01,112.32,348.63,397.12,388.28,278.84,"Koněvova, Prague - Žižkov",50.0908591,14.471919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",746224,2 bedroom,12/17/2022,65 m²,Fully furnished,5,1.0,,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",748839,1 bedroom,1/2/2023,43 m²,Fully furnished,4,1.0,,276.64,299.92,82.85,597.17,63.3,447.09,45.77,62.13,794.8,565.99,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,100","CZK 6,700",748833,Studio,1/2/2023,30 m²,Fully furnished,3,1.0,,139.49,792.63,156.92,306.05,50.15,84.99,429.59,902.4,481.21,801.27,"Šimáčkova, Prague - Holešovice",50.1030733,14.4335679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 48,000","CZK 16,000",748831,3+1,1/2/2023,72 m²,Fully furnished,5,1.0,,276.64,299.92,82.85,597.17,63.3,447.09,45.77,62.13,794.8,565.99,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 6,000",141743,3+kk,1/1/2023,67 m²,Fully furnished,7,1.0,,207.23,816.02,150.32,350.95,228.52,239.93,541.82,540.42,846.72,56.13,"Pískovcová, Prague - Prosek",50.1176053,14.4994715,"CZK 40,000",Prefab concrete,Distance,Standard,Good,Cooperative,C,Complete,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,375","CZK 7,125",749297,2+kk,1/6/2023,48 m²,Fully furnished,1,,,155.39,1496.55,309.24,1132.76,306.84,287.92,409.67,511.79,487.82,151.8,"Na Kuthence, Prague - Dejvice",50.1052082,14.3720237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",749296,3+1,1/6/2023,95 m²,Fully furnished,5,1.0,,64.6,187.25,76.8,394.68,68.84,92.32,380.84,389.56,489.66,171.93,"U Nádražní lávky, Prague - Karlín",50.0933054,14.4462629,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
