Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,Heating,Designe,Floor space,Fully furnished,Floor,Building type,Reconstruction,Parking,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Condition,Sklep 2 m²,Garage,Lodžie 7 m²,Lift,Age,Balkón 5 m²,Sklep 5 m²,New-build,Balkón 4 m²,Sklep 3 m²,Sklep 20 m²,Balkón 3 m²,Terrace,Sklep 4 m²,Lodžie 4 m²,Domácí mazlíčci vítáni,Balcony,Terasa 50 m²,Balkón 6 m²,Lodžie 2 m²,Terasa 21 m²,Sklep 1 m²,Balkón 2 m²,Balkón 8 m²,Terasa 9 m²,Terasa 11 m²,Terasa 16 m²,Lodžie 16 m²,Lodžie 6 m²,Sklep 10 m²,Sklep 8 m²,Terasa 100 m²,Cellar,Sklep 6 m²,Lodžie 3 m²,Terasa 14 m²,Balkón 10 m²,Terasa 20 m²,Balkón 1 m²,Balkón 7 m²,Balkón 13 m²,Balkón 40 m²,Administrative fee,Balkón 15 m²,Sklep 2.5 m²,Enclosed balcony,Lodžie 10.8 m²,Sklep 3.6 m²,Terasa 27 m²,Balkón 3.7 m²,Lodžie 5 m²,Terasa 8 m²,Terasa 40 m²,Balkón 11 m²,Terasa 15 m²,Balkón 54 m²,Lodžie 8 m²,Sklep 2.9 m²,Balkón 50 m²,Terasa 12 m²,Balkón 2.3 m²,Terasa 10 m²,Lodžie 10 m²,Sklep 9 m²,Terasa 6 m²,Balkón 2.1 m²,Terasa 44 m²,Terasa 35 m²,Balkón 60 m²,Terasa 60 m²,Sklep 10.1 m²,Terasa 7 m²,Lodžie 8.2 m²,Terasa 36 m²,Terasa 34 m²,Sklep 7 m²,Plot type,Sklep 12 m²,Balkón 12 m²,Terasa 30 m²,Terasa 5 m²,Balkón 20 m²,Terasa 80 m²,Terasa 66 m²,Terasa 13 m²,Terasa 28 m²,Balkón 3.2 m²,Terasa 3 m²,Lodžie 4.5 m²,Balkón 16 m²,Balkón 9.8 m²,Sklep 1.5 m²,Plot space,Terasa 17 m²,Terasa 25 m²,Lodžie 12 m²,Balkón 3.5 m²,Balkón 33 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 9 m²,Balkón 29 m²,Terasa 49 m²,Terasa 12.7 m²,Terasa 70 m²,Balkón 73 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Lodžie 5.1 m²,Terasa 200 m²,Terasa 37 m²,Sklep 15 m²,Terasa 29 m²,Sklep 6.4 m²
"CZK 13,000",CZK 0,"CZK 15,000",557364,Studio,11/21/2022,Personal,Gas boiler,Standard,29 m²,Partly,1,Brick,Interior,1.0,299.8,385.72,284.67,387.7,285.71,259.71,669.49,528.15,438.88,179.29,Prague - Michle,50.0498812,14.4553866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 2,000","CZK 12,000",752311,Small studio,1/1/2023,,,,22 m²,Fully furnished,1,Brick,,1.0,193.59,486.03,203.31,301.48,244.21,564.87,1039.05,474.84,308.88,275.0,"Osvobození, Prague - Suchdol",50.13284,14.37889,F,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 5,000","CZK 37,000",752310,2+kk,11/20/2022,Personal,,,53 m²,Partly,4,Low-energy,,1.0,362.16,1112.86,342.86,1431.45,582.37,541.31,603.65,1226.16,479.96,483.64,"Ve Slatinách, Prague - Záběhlice",50.05618,14.48947,A,Very good,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,490","CZK 3,499","CZK 20,000",593717,2+kk,1/1/2023,Personal,Distance,Standard,40 m²,Fully furnished,6,Prefab concrete,Complete,,550.4,653.91,253.9,420.37,463.31,661.88,896.1,301.31,2128.23,399.99,"Bryksova, Prague - Černý Most",50.105977,14.583237,C,Very good,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 7,000","CZK 2,500",CZK 0,380527,Small studio,11/20/2022,Personal,Electric boiler,,12 m²,Partly,,Brick,,,71.34,2110.12,126.72,2024.3,174.34,2054.98,439.38,201.05,332.49,273.18,"Pod Žvahovem, Prague - Hlubočepy",50.0419626,14.3948406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,900","CZK 2,800","CZK 40,000",550577,2+kk,,Personal,Distance,Standard,53 m²,Partly,5,Brick,,1.0,471.96,1238.38,364.6,1163.48,703.79,509.26,737.94,613.69,1168.13,126.83,"Zakšínská, Prague - Střížkov",50.1311712,14.4921325,B,,,,,1.0,Up to 10 years,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,500","CZK 45,000",528601,2 bedroom,12/1/2022,Personal,Central,Standard,70 m²,Partly,2,Brick,Interior,,255.27,1028.87,319.89,1053.27,311.64,495.83,715.17,521.33,473.07,403.17,Prague - Smíchov,50.0599289,14.3998514,D,Very good,,,,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,500","CZK 4,500","CZK 40,000",752305,3+kk,11/21/2022,,,,64 m²,Partly,1,Brick,,1.0,172.97,766.11,168.32,832.3,185.36,817.88,280.46,315.07,431.91,321.78,Prague - Michle,50.04592,14.4627,G,Very good,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 4,000","CZK 22,000",484979,2 bedroom,12/1/2022,Personal,Other,Luxurious,50 m²,Fully furnished,5,Brick,Complete,,108.43,641.26,166.34,1120.15,66.25,623.42,547.97,494.22,356.53,212.83,Prague - Střešovice,50.085944,14.3822687,C,Very good,,,,1.0,Up to 10 years,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000","CZK 34,000",752303,2+kk,11/20/2022,,,Standard,75 m²,Partly,1,Brick,Complete,1.0,351.53,1013.75,93.4,433.12,401.41,495.57,969.05,669.24,855.23,658.49,"Věštínská, Prague - Radotín",49.98567,14.36976,,Very good,,,,,Over 50 years,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
