Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Ownership,Heating,Age,New-build,Parking,Cellar,Lift,Designe,Reconstruction,Balkón 4 m²,Garage,Sklep 2 m²,Balkón 5 m²,Lodžie 4 m²,Lodžie 3 m²,Sklep 5 m²,Balkón 6 m²,Balkón 4.21 m²,Sklep 3 m²,Sklep 1 m²,Domácí mazlíčci vítáni,Lodžie 6 m²,Balkón 2 m²,Balkón 1 m²,Balkón 10 m²,Balcony,Terrace,Terasa 5 m²,Sklep 36 m²,Sklep 7 m²,Terasa 20 m²,Terasa 8 m²,Terasa 25 m²,Balkón 7 m²,Sklep 4 m²,Balkón 40 m²,Terasa 50 m²,Sklep 6.1 m²,Lodžie 7 m²,Terasa 40 m²,Terasa 12 m²,Terasa 15 m²,Administrative fee,Enclosed balcony,Terasa 36 m²,Balkón 11 m²,Terasa 14 m²,Sklep 6 m²,Balkón 3 m²,Terasa 100 m²,Balkón 0 m²,Sklep 10 m²,Lodžie 10 m²,Terasa 60 m²,Terasa 7 m²,Balkón 72 m²,Balkón 8 m²,Sklep 1.5 m²,Lodžie 10.8 m²,Sklep 3.6 m²,Balkón 14 m²,Terasa 49 m²,Terasa 28 m²,Balkón 3.7 m²,Terasa 16 m²,Lodžie 16 m²,Terasa 37 m²,Lodžie 5 m²,Lodžie 9 m²,Balkón 9 m²,Balkón 18 m²,Lodžie 18 m²,Terasa 18 m²,Terasa 22 m²,Terasa 6 m²,Sklep 8 m²,Terasa 29 m²,Terasa 3.1 m²,Terasa 35 m²,Balkón 1.5 m²,Sklep 2.8 m²,Balkón 90 m²,Sklep 2.5 m²,Lodžie 8.2 m²,Terasa 11 m²,Terasa 34 m²,Lodžie 8 m²,Balkón 50 m²,Lodžie 12 m²,Sklep 20 m²,Lodžie 2 m²,Terasa 21 m²,Terasa 9 m²,Balkón 13 m²,Balkón 15 m²,Sklep 2.9 m²,Balkón 2.3 m²,Balkón 60 m²,Sklep 10.1 m²,Plot type,Sklep 12 m²,Balkón 12 m²,Terasa 30 m²,Balkón 20 m²,Terasa 80 m²,Terasa 66 m²,Sklep 9 m²,Terasa 13 m²,Terasa 3 m²,Lodžie 4.5 m²,Balkón 16 m²,Plot space,Terasa 10 m²,Balkón 3.5 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 29 m²,Terasa 70 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 200 m²,Sklep 6.4 m²
"CZK 23,500",CZK 0,"CZK 46,000",753402,3+kk,2/1/2023,2,G,81 m²,Unfurnished,Very good,Brick,361.93,937.03,231.62,342.89,114.06,561.21,712.24,627.44,809.56,601.3,"Příběnická, Prague - Žižkov",50.08624,14.43974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,800","CZK 17,000",639080,Studio,12/17/2020,,A,39 m²,Partly,Very good,Brick,103.12,618.92,0.0,589.48,482.09,597.32,335.51,598.48,359.58,338.41,"Tlumačovská, Prague - Stodůlky",50.040259,14.336013,Personal,Central,Up to 10 years,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,900","CZK 4,800","CZK 10,000",753400,2+kk,12/1/2022,2,G,52 m²,Partly,Very good,Brick,293.75,1162.56,247.49,811.79,125.85,424.46,353.82,533.66,308.24,395.56,"Závěrka, Prague - Břevnov",50.08283,14.37689,Personal,,10 to 30 years,,1.0,,1.0,Standard,Complete,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,232","CZK 9,077",,753399,1 bedroom,1/26/2023,3,,48 m²,Fully furnished,,,107.08,199.76,133.64,104.94,106.11,,312.74,774.3,461.94,541.92,"Senovážné náměstí, Prague - Nové Město",50.0855469,14.4290625,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 4,600","CZK 27,000",691207,Studio,12/1/2022,3,C,48 m²,Fully furnished,Very good,Brick,270.69,1044.39,561.92,3654.27,251.55,493.49,975.94,3076.92,1008.6,197.69,"Kardausova, Prague - Dolní Měcholupy",50.06652,14.55191,Personal,Central,Up to 10 years,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 1,100","CZK 30,000",752549,2+kk,12/6/2022,3,C,51 m²,Fully furnished,New-build,Other,117.53,1000.51,407.31,913.04,245.77,954.62,1131.21,1116.69,1092.73,237.18,"Geologická, Prague - Hlubočepy",50.03491,14.38651,Personal,,,,,,1.0,Standard,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 13,800",617039,Studio,12/1/2022,2,G,32 m²,Unfurnished,Very good,Brick,481.99,843.34,470.89,722.35,358.84,851.24,598.32,1124.66,339.04,443.48,"Pod Kaštany, Prague - Bubeneč",50.102921,14.412807,Personal,Gas boiler,,,,,,Standard,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 2,000","CZK 30,000",616233,Studio,1/15/2023,4,G,45 m²,Partly,New-build,Brick,105.51,523.94,70.92,321.12,62.33,328.58,168.28,180.66,528.86,326.76,"Lípová, Prague - Nové Město",50.074862,14.424121,Personal,,,1.0,,,1.0,Luxurious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,500","CZK 19,500",645658,2+kk,1/2/2023,5,F,48 m²,Fully furnished,New-build,Brick,249.16,369.67,308.68,479.05,292.86,342.59,674.41,689.74,862.2,245.35,"Oty Bubeníčka, Prague - Uhříněves",50.029235,14.597578,Personal,Central,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 6,499","CZK 30,000",527858,3+kk,2/1/2023,2,B,89 m²,Fully furnished,New-build,Brick,492.04,2165.44,1784.07,2159.6,572.93,2027.91,1475.72,2033.63,687.28,1397.85,"Šífařská, Prague - Hodkovičky",50.0194589,14.4011782,Personal,Distance,Up to 10 years,1.0,1.0,,1.0,Luxurious,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
