Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,EPC,Heating,Floor space,Fully furnished,Floor,Building type,Age,Designe,New-build,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Condition,Balcony,Parking,Garage,Cellar,Lift,Terrace,Terasa 14 m²,Lodžie 5 m²,Balkón 3 m²,Sklep 3 m²,Administrative fee,Lodžie 2 m²,Terasa 18 m²,Balkón 2 m²,Sklep 2 m²,Reconstruction,Balkón 14 m²,Balkón 19 m²,Sklep 4 m²,Terasa 19 m²,Lodžie 19 m²,Balkón 6 m²,Terasa 3 m²,Sklep 1 m²,Balkón 5 m²,Domácí mazlíčci vítáni,Lodžie 3 m²,Balkón 8 m²,Balkón 11 m²,Balkón 15 m²,Terasa 5 m²,Sklep 5 m²,Lodžie 6 m²,Balkón 10 m²,Balkón 16 m²,Terasa 37 m²,Lodžie 7 m²,Terasa 53 m²,Terasa 25 m²,Lodžie 4 m²,Sklep 6 m²,Balkón 4 m²,Sklep 1.5 m²,Lodžie 3.5 m²,Terasa 21 m²,Balkón 2.5 m²,Terasa 20 m²,Lodžie 8 m²,Terasa 16 m²,Balkón 7 m²,Balkón 1 m²,Sklep 25 m²,Balkón 12 m²,Balkón 1.5 m²,Terasa 30 m²,Balkón 40 m²,Terasa 50 m²,Balkón 4.21 m²,Sklep 36 m²,Sklep 7 m²,Terasa 8 m²,Sklep 6.1 m²,Terasa 40 m²,Terasa 15 m²,Enclosed balcony,Terasa 36 m²,Terasa 100 m²,Balkón 0 m²,Sklep 10 m²,Lodžie 10 m²,Terasa 60 m²,Terasa 7 m²,Balkón 72 m²,Lodžie 11 m²,Terasa 49 m²,Terasa 28 m²,Balkón 3.7 m²,Lodžie 16 m²,Lodžie 9 m²,Balkón 9 m²,Terasa 12 m²,Terasa 22 m²,Terasa 6 m²,Sklep 8 m²,Terasa 29 m²,Terasa 3.1 m²,Terasa 35 m²,Sklep 2.8 m²,Balkón 90 m²,Sklep 2.5 m²,Lodžie 8.2 m²,Terasa 11 m²,Terasa 34 m²,Balkón 50 m²,Lodžie 12 m²,Sklep 20 m²,Terasa 9 m²,Balkón 13 m²,Balkón 2.3 m²,Sklep 2.9 m²,Balkón 60 m²,Sklep 10.1 m²,Plot type,Sklep 12 m²,Balkón 20 m²,Terasa 80 m²,Sklep 9 m²,Terasa 13 m²,Lodžie 4.5 m²,Plot space,Terasa 10 m²,Balkón 3.5 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 29 m²,Terasa 70 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 200 m²,Sklep 6.4 m²
"CZK 11,000","CZK 1,500","CZK 11,000",404666,1 bedroom,12/1/2022,Personal,B,Central,33 m²,Partly,2,Brick,Up to 10 years,Standard,1.0,97.78,302.77,497.27,1803.16,267.07,957.35,567.57,1296.27,1003.66,174.43,"Hrdlořezská, Prague - Hrdlořezy",50.0936238,14.5086833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 3,557","CZK 17,000",670762,2+kk,9/1/2021,Personal,G,,56 m²,Partly,2,Other,,,,415.62,933.62,396.61,1173.75,526.21,352.9,389.94,673.84,1264.92,399.32,"Učňovská, Prague - Hrdlořezy",50.09324,14.50431,New-build,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,750","CZK 9,250",,753708,2+kk,1/28/2023,,,,60 m²,Fully furnished,3,,,,,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,675","CZK 11,225",,753707,2+kk,1/28/2023,,,,55 m²,Fully furnished,2,,,,,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 3,500","CZK 20,000",753704,2 bedroom,11/29/2022,,G,,61 m²,Unfurnished,4,Brick,,,,236.84,707.35,471.72,513.23,68.97,298.91,326.78,531.5,617.48,243.74,"Počátecká, Prague - Michle",50.04401,14.45596,Very good,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,365","CZK 12,455",,749412,2 bedroom,1/13/2023,,,,46 m²,Fully furnished,2,,,,,2.22,191.43,20.53,48.07,1.19,48.35,128.16,305.9,208.92,259.31,"Dlouhá, Prague - Staré Město",50.0907943,14.427063,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 5,000","CZK 50,000",753698,2+kk,1/2/2023,,G,,61 m²,Fully furnished,3,Brick,,,,188.17,1848.93,1848.28,2324.07,1879.43,1897.28,2403.09,2418.41,1557.9,1083.4,"Holubinková, Prague - Pitkovice",50.01611,14.58338,Very good,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000","CZK 25,000",753693,2+kk,11/28/2022,,G,,43 m²,Partly,1,Brick,,,,303.79,395.85,295.9,185.4,153.61,385.15,133.0,642.28,484.78,80.94,"Nedvědovo náměstí, Prague - Podolí",50.05675,14.42201,Very good,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,990","CZK 3,892","CZK 18,882",753695,Studio,11/29/2022,Personal,A,,30 m²,Partly,2,Brick,,,1.0,161.89,296.66,325.88,1227.84,244.56,618.88,925.89,695.62,1086.29,351.13,"U Nového dvora, Prague - Lhotka",50.01836111111,14.44924333333,New-build,,,,1.0,1.0,,,,,,"CZK 18,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,000","CZK 30,000",753660,2+kk,12/11/2022,,G,,45 m²,Partly,1,Brick,,Standard,,19.21,654.35,33.47,484.46,43.61,409.86,276.22,632.04,219.79,145.81,Prague - Nusle,50.06117,14.43718,Very good,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
