Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Front garden,Total number of floors,Age,New building
697521,"CZK 15,000",50.10712,14.49347,"Drahobejlova, Prague - Libeň",1 bedroom,Excellent,42 m²,"CZK 4,000","CZK 30,000",Cooperative,Brick building,Furnished,2,No,No,Yes,No,No,No,No,01. 03. 2022,G,191,385,113,596,91,184,270,495,282,223,,,,,,
618294,"CZK 11,500",50.115462,14.507455,"Na Vysočanských Vinicích, Prague - Vysočany",Studio,Excellent,23 m²,"CZK 1,700","CZK 15,000",Personal,Brick building,Partially furnished,1,No,Yes,No,No,No,No,No,01. 04. 2022,B,311,"1,043",754,759,362,857,"1,079",472,684,197,Premium materials and solutions,Gas boiler,10 m²,,,
680073,"CZK 30,000",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",1 bedroom with open-plan kitchen,,55 m²,"CZK 10,000",,,,Furnished,3,No,No,No,No,No,No,No,01. 01. 2022,,469,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309,,,,,,
680050,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,,75 m²,"CZK 13,250",,,,Furnished,2,No,No,No,No,No,Yes,No,01. 01. 2022,,156,408,244,342,59,242,281,281,533,788,,,,,,
690503,"CZK 26,400",50.0779159,14.4375296,"Vinohradská, Prague - Vinohrady",1 bedroom with open-plan kitchen,,40 m²,"CZK 8,800",,,,Furnished,7,No,No,No,No,No,Yes,No,01. 01. 2022,,75,316,151,67,35,51,260,350,400,731,,,,,,
680054,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,,45 m²,"CZK 12,000",,,,Furnished,1,No,No,No,No,No,Yes,No,01. 01. 2022,,156,408,244,342,59,242,281,281,533,788,,,,,,
692955,"CZK 13,000",50.0376426,14.3402209,"Kurzova, Prague - Stodůlky",3 bedroom,Good,73 m²,"CZK 5,700","CZK 20,000",Cooperative,Prefab concrete building,Partially furnished,6,No,No,No,No,No,No,No,19. 12. 2021,G,429,378,106,996,254,375,229,314,263,203,,,,,,
697453,"CZK 24,000",50.06837,14.43548,"Bělehradská, Prague - Vinohrady",3 bedroom,Excellent,100 m²,CZK 650,"CZK 24,000",Personal,Brick building,Unfurnished,2,No,No,No,No,No,No,No,10. 01. 2022,G,19,555,23,576,46,675,444,477,410,497,Standard materials and solutions,Gas boiler,,Middle floor,,
697507,"CZK 20,000",50.0886,14.34208,"Pláničkova, Prague - Veleslavín",1 bedroom with open-plan kitchen,Excellent,69 m²,"CZK 5,300","CZK 40,000",Personal,Brick building,Partially furnished,3,No,Yes,No,No,Yes,Yes,Yes,01. 02. 2022,G,209,553,208,189,154,225,399,287,851,218,Premium materials and solutions,District heating,,Middle floor,10 to 30 years years,
168132,"CZK 15,000",50.0557855,14.4922111,"Na Slatince, Prague - Záběhlice",1 bedroom with open-plan kitchen,New build,70 m²,"CZK 4,125","CZK 20,000",Personal,Brick building,Unfurnished,5,Yes,No,No,No,No,Yes,No,15. 01. 2022,B,130,863,434,"1,267",301,336,329,810,144,329,,District heating,,,1 to 10 years years,Yes
