Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Front garden,Total number of floors,Age,New building,Renovation,Developer name,Project name,Kód jednotky,Administration fee,Investment Advisor
694843,"CZK 48,755",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",2 bedroom with open-plan kitchen,145 m²,"CZK 16,252",Furnished,6.0,No,Yes,No,No,No,Yes,Yes,01. 02. 2022,123.0,293,167,222,66,246,411,"1,258",283,254.0,,,,,,,,,,,,,,,,,
694842,"CZK 29,228",50.0940007,14.4535929,"Sokolovská a, Prague - Karlín",Studio,32 m²,"CZK 9,742",Furnished,4.0,No,No,No,No,No,Yes,Yes,01. 02. 2022,109.0,421,13,160,21,228,518,"1,364",384,467.0,,,,,,,,,,,,,,,,,
696751,"CZK 12,128",50.0855201,14.4494539,"Štítného, Prague - Žižkov",Studio,25 m²,"CZK 4,042",Furnished,1.0,No,No,No,No,No,No,No,19. 02. 2022,273.0,239,86,246,43,207,26,255,111,588.0,,,,,,,,,,,,,,,,,
696645,"CZK 46,313",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,60 m²,"CZK 15,437",Furnished,4.0,No,No,No,No,No,Yes,No,18. 02. 2022,110.0,274,157,129,77,143,300,496,282,367.0,,,,,,,,,,,,,,,,,
686900,"CZK 26,161",50.0925135,14.4556107,"Šaldova, Prague - Karlín",1 bedroom,40 m²,"CZK 8,720",Furnished,2.0,No,Yes,No,No,No,Yes,No,02. 01. 2022,367.0,716,142,317,156,180,346,"1,276",231,204.0,,,,,,,,,,,,,,,,,
697164,"CZK 13,875",50.0787721,14.4457646,"Polská, Prague - Vinohrady",1 bedroom,25 m²,"CZK 4,625",Furnished,5.0,No,No,No,No,No,No,No,26. 02. 2022,377.0,625,12,482,23,353,301,64,259,378.0,,,,,,,,,,,,,,,,,
697545,"CZK 9,375",50.0743844,14.4050455,"Matoušova, Prague - Smíchov",Studio,30 m²,"CZK 3,125",Furnished,1.0,No,No,No,No,No,No,No,02. 03. 2022,226.0,237,189,147,109,244,329,"1,174","1,070",405.0,,,,,,,,,,,,,,,,,
697544,"CZK 46,313",50.0745467,14.4389986,"Blanická, Prague - Vinohrady",3 bedroom with open-plan kitchen,93 m²,"CZK 15,437",Furnished,6.0,No,Yes,No,No,No,Yes,No,02. 03. 2022,84.0,364,40,331,100,341,128,408,656,679.0,,,,,,,,,,,,,,,,,
697543,"CZK 22,500",50.1013742,14.4358954,"Šternberkova, Prague - Holešovice",2 bedroom,83 m²,"CZK 7,500",Furnished,3.0,Yes,No,No,No,No,Yes,No,02. 03. 2022,184.0,870,174,226,62,375,320,"1,488",599,931.0,,,,,,,,,,,,,,,,,
697542,"CZK 14,000",50.10584,14.47788,"Pod Kotlaskou, Prague - Libeň",1 bedroom with open-plan kitchen,43 m²,"CZK 2,000",Partially furnished,1.0,No,No,Yes,No,No,No,No,15. 01. 2022,201.0,472,258,498,102,425,512,160,495,121.0,Good,"CZK 30,000",Personal,Brick building,G,,,,,,,,,,,,
697541,"CZK 12,000",50.06133,14.39786,"Radlická, Prague - Smíchov",1 bedroom with open-plan kitchen,41 m²,"CZK 2,800",Partially furnished,2.0,No,No,Yes,No,No,No,No,17. 01. 2022,32.0,953,43,803,4,498,416,516,623,501.0,Excellent,"CZK 24,000",Personal,Brick building,G,,,,,,,,,,,,
