,Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Front garden,Total number of floors,Age,New building,Renovation,Developer name,Project name,Kód jednotky,Administration fee,Investment Advisor
0,694843,"CZK 48,755",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",2 bedroom with open-plan kitchen,145 m²,"CZK 16,252",Furnished,6.0,No,Yes,No,No,No,Yes,Yes,01. 02. 2022,123.0,293,167,222,66,246,411,"1,258",283,254.0,,,,,,,,,,,,,,,,,
1,694842,"CZK 29,228",50.0940007,14.4535929,"Sokolovská a, Prague - Karlín",Studio,32 m²,"CZK 9,742",Furnished,4.0,No,No,No,No,No,Yes,Yes,01. 02. 2022,109.0,421,13,160,21,228,518,"1,364",384,467.0,,,,,,,,,,,,,,,,,
2,696751,"CZK 12,128",50.0855201,14.4494539,"Štítného, Prague - Žižkov",Studio,25 m²,"CZK 4,042",Furnished,1.0,No,No,No,No,No,No,No,19. 02. 2022,273.0,239,86,246,43,207,26,255,111,588.0,,,,,,,,,,,,,,,,,
3,696645,"CZK 46,313",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,60 m²,"CZK 15,437",Furnished,4.0,No,No,No,No,No,Yes,No,18. 02. 2022,110.0,274,157,129,77,143,300,496,282,367.0,,,,,,,,,,,,,,,,,
4,686900,"CZK 26,161",50.0925135,14.4556107,"Šaldova, Prague - Karlín",1 bedroom,40 m²,"CZK 8,720",Furnished,2.0,No,Yes,No,No,No,Yes,No,02. 01. 2022,367.0,716,142,317,156,180,346,"1,276",231,204.0,,,,,,,,,,,,,,,,,
5,697164,"CZK 13,875",50.0787721,14.4457646,"Polská, Prague - Vinohrady",1 bedroom,25 m²,"CZK 4,625",Furnished,5.0,No,No,No,No,No,No,No,26. 02. 2022,377.0,625,12,482,23,353,301,64,259,378.0,,,,,,,,,,,,,,,,,
6,697545,"CZK 9,375",50.0743844,14.4050455,"Matoušova, Prague - Smíchov",Studio,30 m²,"CZK 3,125",Furnished,1.0,No,No,No,No,No,No,No,02. 03. 2022,226.0,237,189,147,109,244,329,"1,174","1,070",405.0,,,,,,,,,,,,,,,,,
7,697544,"CZK 46,313",50.0745467,14.4389986,"Blanická, Prague - Vinohrady",3 bedroom with open-plan kitchen,93 m²,"CZK 15,437",Furnished,6.0,No,Yes,No,No,No,Yes,No,02. 03. 2022,84.0,364,40,331,100,341,128,408,656,679.0,,,,,,,,,,,,,,,,,
8,697543,"CZK 22,500",50.1013742,14.4358954,"Šternberkova, Prague - Holešovice",2 bedroom,83 m²,"CZK 7,500",Furnished,3.0,Yes,No,No,No,No,Yes,No,02. 03. 2022,184.0,870,174,226,62,375,320,"1,488",599,931.0,,,,,,,,,,,,,,,,,
9,697542,"CZK 14,000",50.10584,14.47788,"Pod Kotlaskou, Prague - Libeň",1 bedroom with open-plan kitchen,43 m²,"CZK 2,000",Partially furnished,1.0,No,No,Yes,No,No,No,No,15. 01. 2022,201.0,472,258,498,102,425,512,160,495,121.0,Good,"CZK 30,000",Personal,Brick building,G,,,,,,,,,,,,
10,697541,"CZK 12,000",50.06133,14.39786,"Radlická, Prague - Smíchov",1 bedroom with open-plan kitchen,41 m²,"CZK 2,800",Partially furnished,2.0,No,No,Yes,No,No,No,No,17. 01. 2022,32.0,953,43,803,4,498,416,516,623,501.0,Excellent,"CZK 24,000",Personal,Brick building,G,,,,,,,,,,,,
11,690577,"CZK 22,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,"CZK 7,500",Furnished,5.0,No,No,No,No,No,Yes,No,25. 01. 2022,243.0,541,100,272,177,315,457,820,635,594.0,,,,,,,,,,,,,,,,,
12,695961,"CZK 16,000",50.0447894,14.5176232,"náměstí Přátelství, Prague - Hostivař",1 bedroom with open-plan kitchen,50 m²,"CZK 3,500",Furnished,7.0,No,Yes,Yes,Yes,No,Yes,Yes,01. 02. 2022,143.0,144,60,49,903,282,996,92,,,Good,"CZK 32,000",Personal,Brick building,C,Standard materials and solutions,Central heating,,,,,,,,,,
13,694362,"CZK 8,500",50.06872,14.49112,"Pitkovická, Prague - Strašnice",Small studio,21 m²,"CZK 1,200",Partially furnished,2.0,No,No,No,No,No,No,No,01. 12. 2021,82.0,"1,127",250,723,49,445,362,655,407,200.0,Excellent,"CZK 10,000",Personal,Brick building,G,,,,,,,,,,,,
14,697538,"CZK 10,000",50.09119,14.43295,"Petrská, Prague - Nové Město",1 bedroom with open-plan kitchen,66 m²,"CZK 2,500",Furnished,1.0,No,No,Yes,No,No,Yes,Yes,31. 12. 2021,32.0,367,3,322,50,170,176,121,483,384.0,Excellent,"CZK 12,500",Personal,Brick building,G,,,,,,,,,,,,
15,680095,"CZK 63,113",50.0761284,14.4327244,"Londýnská, Prague - Vinohrady",3 bedroom,70 m²,"CZK 21,037",Furnished,3.0,No,Yes,No,No,No,No,No,02. 01. 2022,100.0,264,66,90,3,201,314,391,396,647.0,,,,,,,,,,,,,,,,,
16,680052,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,3.0,No,No,No,No,No,Yes,No,02. 01. 2022,156.0,408,244,342,59,242,281,281,533,788.0,,,,,,,,,,,,,,,,,
17,680048,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,75 m²,"CZK 13,250",Furnished,4.0,No,No,No,No,No,Yes,No,02. 01. 2022,156.0,408,244,342,59,242,281,281,533,788.0,,,,,,,,,,,,,,,,,
18,691974,"CZK 17,199",50.1006418,14.4875772,"Skloněná, Prague - Vysočany",1 bedroom with open-plan kitchen,71 m²,"CZK 2,477",,1.0,No,No,No,No,No,No,No,22. 10. 2021,115.0,"1,052",121,904,135,"1,221",265,258,437,297.0,Good,"CZK 20,000",,Other,,,,,,,,,,,,,
19,695449,"CZK 12,222",50.0444182,14.5658448,"Na Křečku, Prague - Horní Měcholupy",1 bedroom with open-plan kitchen,44 m²,"CZK 4,300",,1.0,No,No,No,No,No,No,No,07. 12. 2021,69.0,795,641,752,433,224,606,487,907,285.0,Good,"CZK 16,500",Personal,Other,,,,,,,,,,,,,
20,693665,"CZK 11,000",50.0067412,14.4376047,"Vazovova, Prague - Modřany",Studio,30 m²,"CZK 2,200",Furnished,6.0,No,No,No,No,No,Yes,No,24. 11. 2021,340.0,"1,001",354,"1,187",851,479,817,202,,,Excellent,"CZK 20,000",Personal,Prefab concrete building,C,,,,,,,,,,,,
21,697535,"CZK 10,000",50.12107,14.49464,"Vysočanská, Prague - Prosek",1 bedroom with open-plan kitchen,40 m²,"CZK 4,600",Furnished,8.0,No,No,No,Yes,No,Yes,No,01. 01. 2022,157.0,549,171,409,362,170,529,208,922,332.0,Good,"CZK 10,000",Personal,Prefab concrete building,G,,,,,,,,,,,,
22,697428,"CZK 12,000",50.079054,14.433914,"Španělská, Prague - Vinohrady",Studio,19 m²,"CZK 2,000",Furnished,6.0,No,No,No,No,No,Yes,No,01. 01. 2022,121.0,405,159,357,118,126,414,414,569,722.0,Excellent,"CZK 14,000",Personal,Brick building,G,,,,,,,,,,,,
23,697521,"CZK 15,000",50.10712,14.49347,"Drahobejlova, Prague - Libeň",1 bedroom,42 m²,"CZK 4,000",Furnished,2.0,No,No,Yes,No,No,No,No,01. 03. 2022,191.0,385,113,596,91,184,270,495,282,223.0,Excellent,"CZK 30,000",Cooperative,Brick building,G,,,,,,,,,,,,
24,618294,"CZK 11,500",50.115462,14.507455,"Na Vysočanských Vinicích, Prague - Vysočany",Studio,23 m²,"CZK 1,700",Partially furnished,1.0,No,Yes,No,No,No,No,No,01. 04. 2022,311.0,"1,043",754,759,362,857,"1,079",472,684,197.0,Excellent,"CZK 15,000",Personal,Brick building,B,Premium materials and solutions,Gas boiler,10 m²,,,,,,,,,
25,680073,"CZK 30,000",50.0372353,14.482405,"Hněvkovská, Prague - Chodov",1 bedroom with open-plan kitchen,55 m²,"CZK 10,000",Furnished,3.0,No,No,No,No,No,No,No,02. 01. 2022,469.0,"1,480",408,"1,340",370,"1,305",889,"1,194",334,309.0,,,,,,,,,,,,,,,,,
26,680050,"CZK 39,750",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",1 bedroom with open-plan kitchen,75 m²,"CZK 13,250",Furnished,2.0,No,No,No,No,No,Yes,No,02. 01. 2022,156.0,408,244,342,59,242,281,281,533,788.0,,,,,,,,,,,,,,,,,
27,690503,"CZK 26,400",50.0779159,14.4375296,"Vinohradská, Prague - Vinohrady",1 bedroom with open-plan kitchen,40 m²,"CZK 8,800",Furnished,7.0,No,No,No,No,No,Yes,No,02. 01. 2022,75.0,316,151,67,35,51,260,350,400,731.0,,,,,,,,,,,,,,,,,
28,680054,"CZK 36,000",50.079465,14.4353199,"Mánesova, Prague - Vinohrady",Studio,45 m²,"CZK 12,000",Furnished,1.0,No,No,No,No,No,Yes,No,02. 01. 2022,156.0,408,244,342,59,242,281,281,533,788.0,,,,,,,,,,,,,,,,,
29,692955,"CZK 13,000",50.0376426,14.3402209,"Kurzova, Prague - Stodůlky",3 bedroom,73 m²,"CZK 5,700",Partially furnished,6.0,No,No,No,No,No,No,No,19. 12. 2021,429.0,378,106,996,254,375,229,314,263,203.0,Good,"CZK 20,000",Cooperative,Prefab concrete building,G,,,,,,,,,,,,
30,697453,"CZK 24,000",50.06837,14.43548,"Bělehradská, Prague - Vinohrady",3 bedroom,100 m²,CZK 650,Unfurnished,2.0,No,No,No,No,No,No,No,10. 01. 2022,19.0,555,23,576,46,675,444,477,410,497.0,Excellent,"CZK 24,000",Personal,Brick building,G,Standard materials and solutions,Gas boiler,,Middle floor,,,,,,,,
31,697507,"CZK 20,000",50.0886,14.34208,"Pláničkova, Prague - Veleslavín",1 bedroom with open-plan kitchen,69 m²,"CZK 5,300",Partially furnished,3.0,No,Yes,No,No,Yes,Yes,Yes,01. 02. 2022,209.0,553,208,189,154,225,399,287,851,218.0,Excellent,"CZK 40,000",Personal,Brick building,G,Premium materials and solutions,District heating,,Middle floor,10 to 30 years years,,,,,,,
